Count,Deleted_Word,Filename
1,,
1,lily,b-rea1-f1_hyp.trn.dtl
1,poor,b-rea1-f1_hyp.trn.dtl
3,lily,b-rea1-f2_hyp.trn.dtl
1,all,b-rea1-f2_hyp.trn.dtl
1,go,b-rea1-f2_hyp.trn.dtl
1,her,b-rea1-f2_hyp.trn.dtl
1,poor,b-rea1-f2_hyp.trn.dtl
1,lily,b-rea1-f3_hyp.trn.dtl
1,one,b-rea1-f3_hyp.trn.dtl
1,poor,b-rea1-f3_hyp.trn.dtl
1,lily,b-rea1-f4_hyp.trn.dtl
1,poor,b-rea1-f4_hyp.trn.dtl
2,lily,b-rea1-f5_hyp.trn.dtl
1,bride,b-rea1-f5_hyp.trn.dtl
1,jewels,b-rea1-f5_hyp.trn.dtl
1,poor,b-rea1-f5_hyp.trn.dtl
1,sisters,b-rea1-f5_hyp.trn.dtl
1,there,b-rea1-f5_hyp.trn.dtl
1,time,b-rea1-f5_hyp.trn.dtl
1,was,b-rea1-f5_hyp.trn.dtl
1,a,b-rea1-f6_hyp.trn.dtl
1,all,b-rea1-f6_hyp.trn.dtl
1,and,b-rea1-f6_hyp.trn.dtl
1,lily,b-rea1-f6_hyp.trn.dtl
1,poor,b-rea1-f6_hyp.trn.dtl
1,that,b-rea1-f6_hyp.trn.dtl
1,they,b-rea1-f6_hyp.trn.dtl
2,lily,b-rea1-m1_hyp.trn.dtl
1,hand,b-rea1-m1_hyp.trn.dtl
1,hat,b-rea1-m1_hyp.trn.dtl
1,me,b-rea1-m1_hyp.trn.dtl
1,poor,b-rea1-m1_hyp.trn.dtl
1,that,b-rea1-m1_hyp.trn.dtl
1,hand,b-rea1-m2_hyp.trn.dtl
1,lily,b-rea1-m2_hyp.trn.dtl
1,poor,b-rea1-m2_hyp.trn.dtl
1,we,b-rea1-m2_hyp.trn.dtl
1,were,b-rea1-m2_hyp.trn.dtl
1,announce,b-rea1-m3_hyp.trn.dtl
1,had,b-rea1-m3_hyp.trn.dtl
1,howled,b-rea1-m3_hyp.trn.dtl
1,new,b-rea1-m3_hyp.trn.dtl
2,find,b-rea1-m4_hyp.trn.dtl
1,cinders,b-rea1-m4_hyp.trn.dtl
1,lily,b-rea1-m4_hyp.trn.dtl
1,poor,b-rea1-m4_hyp.trn.dtl
2,lily,b-rea1-m5_hyp.trn.dtl
1,poor,b-rea1-m5_hyp.trn.dtl
1,to,b-rea1-m5_hyp.trn.dtl
1,very,b-rea1-m5_hyp.trn.dtl
1,were,b-rea1-m5_hyp.trn.dtl
1,all,b-rea1-m6_hyp.trn.dtl
1,lily,b-rea1-m6_hyp.trn.dtl
2,lily,c-rea1-f1_hyp.trn.dtl
2,lily,c-rea1-f2_hyp.trn.dtl
1,so,c-rea1-f2_hyp.trn.dtl
1,they,c-rea1-f2_hyp.trn.dtl
1,a,c-rea1-f3_hyp.trn.dtl
1,lily,c-rea1-f3_hyp.trn.dtl
1,so,c-rea1-f3_hyp.trn.dtl
1,that,c-rea1-f3_hyp.trn.dtl
1,william,c-rea1-f3_hyp.trn.dtl
1,pal,c-rea1-f4_hyp.trn.dtl
1,rosa,c-rea1-f4_hyp.trn.dtl
1,to,c-rea1-f4_hyp.trn.dtl
1,lily,c-rea1-f5_hyp.trn.dtl
1,that,c-rea1-f5_hyp.trn.dtl
1,they,c-rea1-f5_hyp.trn.dtl
2,lily,c-rea1-f6_hyp.trn.dtl
1,howled,c-rea1-f6_hyp.trn.dtl
1,ball,c-rea1-m1_hyp.trn.dtl
1,lily,c-rea1-m1_hyp.trn.dtl
1,so,c-rea1-m1_hyp.trn.dtl
1,that,c-rea1-m1_hyp.trn.dtl
1,they,c-rea1-m1_hyp.trn.dtl
3,lily,c-rea1-m2_hyp.trn.dtl
1,lily,c-rea1-m4_hyp.trn.dtl
1,sep,c-rea1-m4_hyp.trn.dtl
1,that,c-rea1-m4_hyp.trn.dtl
1,their,c-rea1-m4_hyp.trn.dtl
1,to,c-rea1-m4_hyp.trn.dtl
2,lily,c-rea1-m5_hyp.trn.dtl
1,had,c-rea1-m5_hyp.trn.dtl
1,she,c-rea1-m5_hyp.trn.dtl
1,they,c-rea1-m5_hyp.trn.dtl
2,lily,c-rea1-m6_hyp.trn.dtl
3,lily,car-rea1-f1_hyp.trn.dtl
1,and,car-rea1-f1_hyp.trn.dtl
1,he,car-rea1-f1_hyp.trn.dtl
2,lily,car-rea1-f2_hyp.trn.dtl
1,do,car-rea1-f2_hyp.trn.dtl
1,old,car-rea1-f2_hyp.trn.dtl
1,she,car-rea1-f2_hyp.trn.dtl
1,to,car-rea1-f2_hyp.trn.dtl
1,call,car-rea1-f3_hyp.trn.dtl
1,lily,car-rea1-f3_hyp.trn.dtl
1,poor,car-rea1-f3_hyp.trn.dtl
3,lily,car-rea1-f4_hyp.trn.dtl
1,all,car-rea1-f4_hyp.trn.dtl
1,announce,car-rea1-f4_hyp.trn.dtl
1,oh,car-rea1-f4_hyp.trn.dtl
1,said,car-rea1-f4_hyp.trn.dtl
1,all,car-rea1-m1_hyp.trn.dtl
1,cinders,car-rea1-m1_hyp.trn.dtl
1,lily,car-rea1-m1_hyp.trn.dtl
1,one,car-rea1-m1_hyp.trn.dtl
1,poor,car-rea1-m1_hyp.trn.dtl
2,lily,car-rea1-m2_hyp.trn.dtl
1,a,car-rea1-m2_hyp.trn.dtl
1,and,car-rea1-m2_hyp.trn.dtl
1,hand,car-rea1-m2_hyp.trn.dtl
1,oh,car-rea1-m2_hyp.trn.dtl
2,lily,car-rea1-m3_hyp.trn.dtl
1,but,car-rea1-m3_hyp.trn.dtl
1,er,car-rea1-m3_hyp.trn.dtl
1,hand,car-rea1-m3_hyp.trn.dtl
1,that,car-rea1-m3_hyp.trn.dtl
1,er,car-rea1-m4_hyp.trn.dtl
1,lily,car-rea1-m4_hyp.trn.dtl
1,poor,car-rea1-m4_hyp.trn.dtl
1,that,car-rea1-m4_hyp.trn.dtl
2,lily,d-rea1-f1_hyp.trn.dtl
1,a,d-rea1-f1_hyp.trn.dtl
1,that,d-rea1-f1_hyp.trn.dtl
3,lily,d-rea1-f2_hyp.trn.dtl
1,a,d-rea1-f2_hyp.trn.dtl
1,find,d-rea1-f2_hyp.trn.dtl
1,lily,d-rea1-f3_hyp.trn.dtl
2,lily,d-rea1-f4_hyp.trn.dtl
1,that,d-rea1-f4_hyp.trn.dtl
1,yelled,d-rea1-f4_hyp.trn.dtl
1,the,d-rea1-f5_hyp.trn.dtl
1,erm,d-rea1-f6_hyp.trn.dtl
1,i'll,d-rea1-f6_hyp.trn.dtl
1,lily,d-rea1-f6_hyp.trn.dtl
2,that,d-rea1-m1_hyp.trn.dtl
1,and,d-rea1-m1_hyp.trn.dtl
1,ball,d-rea1-m1_hyp.trn.dtl
1,had,d-rea1-m1_hyp.trn.dtl
1,poor,d-rea1-m1_hyp.trn.dtl
1,a,d-rea1-m2_hyp.trn.dtl
1,lily,d-rea1-m2_hyp.trn.dtl
1,poor,d-rea1-m2_hyp.trn.dtl
1,they,d-rea1-m2_hyp.trn.dtl
1,would,d-rea1-m2_hyp.trn.dtl
1,lily,d-rea1-m3_hyp.trn.dtl
2,lily,d-rea1-m4_hyp.trn.dtl
1,everyone,d-rea1-m4_hyp.trn.dtl
1,in,d-rea1-m4_hyp.trn.dtl
1,it,d-rea1-m4_hyp.trn.dtl
1,poor,d-rea1-m4_hyp.trn.dtl
1,stepdaughters,d-rea1-m4_hyp.trn.dtl
1,that,d-rea1-m4_hyp.trn.dtl
2,lily,d-rea1-m6_hyp.trn.dtl
1,lily,j-rea1-f1_hyp.trn.dtl
1,of,j-rea1-f1_hyp.trn.dtl
1,yelled,j-rea1-f1_hyp.trn.dtl
1,that,j-rea1-f2_hyp.trn.dtl
1,a,j-rea1-f3_hyp.trn.dtl
1,and,j-rea1-f3_hyp.trn.dtl
1,announce,j-rea1-f3_hyp.trn.dtl
1,going,j-rea1-f3_hyp.trn.dtl
1,one,j-rea1-f3_hyp.trn.dtl
1,they,j-rea1-f3_hyp.trn.dtl
1,yelled,j-rea1-f3_hyp.trn.dtl
3,lily,j-rea1-f4_hyp.trn.dtl
1,that,j-rea1-f4_hyp.trn.dtl
1,er,j-rea1-f5_hyp.trn.dtl
1,hand,j-rea1-f5_hyp.trn.dtl
1,they,j-rea1-f5_hyp.trn.dtl
1,lily,j-rea1-f6_hyp.trn.dtl
1,sep,j-rea1-f6_hyp.trn.dtl
1,the,j-rea1-f6_hyp.trn.dtl
1,at,j-rea1-m1_hyp.trn.dtl
1,lily,j-rea1-m1_hyp.trn.dtl
1,rosa,j-rea1-m1_hyp.trn.dtl
1,the,j-rea1-m1_hyp.trn.dtl
1,er,j-rea1-m2_hyp.trn.dtl
1,hand,j-rea1-m2_hyp.trn.dtl
1,hat,j-rea1-m2_hyp.trn.dtl
1,he,j-rea1-m2_hyp.trn.dtl
1,howled,j-rea1-m2_hyp.trn.dtl
1,started,j-rea1-m2_hyp.trn.dtl
1,the,j-rea1-m2_hyp.trn.dtl
1,when,j-rea1-m2_hyp.trn.dtl
2,lily,j-rea1-m3_hyp.trn.dtl
1,and,j-rea1-m3_hyp.trn.dtl
1,howled,j-rea1-m3_hyp.trn.dtl
1,other,j-rea1-m3_hyp.trn.dtl
1,shout,j-rea1-m3_hyp.trn.dtl
1,that,j-rea1-m3_hyp.trn.dtl
1,the,j-rea1-m3_hyp.trn.dtl
1,wear,j-rea1-m3_hyp.trn.dtl
1,yelled,j-rea1-m3_hyp.trn.dtl
1,lily,j-rea1-m4_hyp.trn.dtl
1,wear,j-rea1-m4_hyp.trn.dtl
1,all,j-rea1-m5_hyp.trn.dtl
1,had,j-rea1-m5_hyp.trn.dtl
1,their,j-rea1-m5_hyp.trn.dtl
1,to,j-rea1-m5_hyp.trn.dtl
2,lily,l-rea1-f1_hyp.trn.dtl
1,ball,l-rea1-f1_hyp.trn.dtl
1,poor,l-rea1-f1_hyp.trn.dtl
1,poor,l-rea1-f2_hyp.trn.dtl
1,sep,l-rea1-f2_hyp.trn.dtl
2,lily,l-rea1-f3_hyp.trn.dtl
1,howled,l-rea1-f3_hyp.trn.dtl
2,lily,l-rea1-f5_hyp.trn.dtl
2,and,l-rea1-f6_hyp.trn.dtl
1,all,l-rea1-f6_hyp.trn.dtl
1,lily,l-rea1-f6_hyp.trn.dtl
1,look,l-rea1-f6_hyp.trn.dtl
1,poor,l-rea1-f6_hyp.trn.dtl
1,that,l-rea1-f6_hyp.trn.dtl
1,would,l-rea1-f6_hyp.trn.dtl
1,yell,l-rea1-f6_hyp.trn.dtl
2,lily,l-rea1-m1_hyp.trn.dtl
1,going,l-rea1-m2_hyp.trn.dtl
1,lily,l-rea1-m2_hyp.trn.dtl
1,poor,l-rea1-m2_hyp.trn.dtl
1,that,l-rea1-m2_hyp.trn.dtl
1,to,l-rea1-m2_hyp.trn.dtl
2,lily,l-rea1-m3_hyp.trn.dtl
2,they,l-rea1-m3_hyp.trn.dtl
1,ball,l-rea1-m3_hyp.trn.dtl
1,but,l-rea1-m3_hyp.trn.dtl
1,would,l-rea1-m3_hyp.trn.dtl
1,lily,l-rea1-m4_hyp.trn.dtl
1,poor,l-rea1-m4_hyp.trn.dtl
1,every,l-rea1-m5_hyp.trn.dtl
1,how,l-rea1-m5_hyp.trn.dtl
1,other,l-rea1-m5_hyp.trn.dtl
1,at,l-rea1-m6_hyp.trn.dtl
1,had,l-rea1-m6_hyp.trn.dtl
1,lily,l-rea1-m6_hyp.trn.dtl
1,poor,l-rea1-m6_hyp.trn.dtl
1,prin,l-rea1-m6_hyp.trn.dtl
1,that,l-rea1-m6_hyp.trn.dtl
1,they,l-rea1-m6_hyp.trn.dtl
1,to,l-rea1-m6_hyp.trn.dtl
2,lily,liv-rea1-f1_hyp.trn.dtl
1,that,liv-rea1-f2_hyp.trn.dtl
2,lily,liv-rea1-f3_hyp.trn.dtl
1,cinders,liv-rea1-f3_hyp.trn.dtl
1,poor,liv-rea1-f3_hyp.trn.dtl
2,find,liv-rea1-f4_hyp.trn.dtl
2,lily,liv-rea1-f4_hyp.trn.dtl
2,the,liv-rea1-f4_hyp.trn.dtl
1,b,liv-rea1-f4_hyp.trn.dtl
2,lily,liv-rea1-f5_hyp.trn.dtl
1,the,liv-rea1-f5_hyp.trn.dtl
2,lily,liv-rea1-f6_hyp.trn.dtl
1,but,liv-rea1-f6_hyp.trn.dtl
1,poor,liv-rea1-f6_hyp.trn.dtl
1,hand,liv-rea1-f7_hyp.trn.dtl
1,poor,liv-rea1-f7_hyp.trn.dtl
1,yelled,liv-rea1-f7_hyp.trn.dtl
2,lily,liv-rea1-m1_hyp.trn.dtl
1,all,liv-rea1-m1_hyp.trn.dtl
1,her,liv-rea1-m1_hyp.trn.dtl
1,poor,liv-rea1-m1_hyp.trn.dtl
1,poot,liv-rea1-m1_hyp.trn.dtl
1,ther,liv-rea1-m1_hyp.trn.dtl
1,that,liv-rea1-m2_hyp.trn.dtl
1,when,liv-rea1-m2_hyp.trn.dtl
1,ball,liv-rea1-m3_hyp.trn.dtl
1,find,liv-rea1-m3_hyp.trn.dtl
1,honour,liv-rea1-m3_hyp.trn.dtl
1,rosa,liv-rea1-m3_hyp.trn.dtl
1,and,liv-rea1-m4_hyp.trn.dtl
1,in,liv-rea1-m4_hyp.trn.dtl
2,lily,liv-rea1-m5_hyp.trn.dtl
1,and,liv-rea1-m5_hyp.trn.dtl
1,shout,liv-rea1-m5_hyp.trn.dtl
1,a,n-rea1-f1_hyp.trn.dtl
1,it,n-rea1-f1_hyp.trn.dtl
1,lily,n-rea1-f1_hyp.trn.dtl
1,poor,n-rea1-f1_hyp.trn.dtl
1,would,n-rea1-f1_hyp.trn.dtl
2,lily,n-rea1-f2_hyp.trn.dtl
1,hair,n-rea1-f2_hyp.trn.dtl
1,that,n-rea1-f2_hyp.trn.dtl
1,a,n-rea1-f3_hyp.trn.dtl
1,lily,n-rea1-f3_hyp.trn.dtl
1,poor,n-rea1-f3_hyp.trn.dtl
1,their,n-rea1-f3_hyp.trn.dtl
1,to,n-rea1-f3_hyp.trn.dtl
1,a,n-rea1-f4_hyp.trn.dtl
1,lily,n-rea1-f4_hyp.trn.dtl
1,poor,n-rea1-f4_hyp.trn.dtl
1,so,n-rea1-f4_hyp.trn.dtl
1,were,n-rea1-f4_hyp.trn.dtl
1,to,n-rea1-f5_hyp.trn.dtl
1,when,n-rea1-f5_hyp.trn.dtl
2,lily,n-rea1-f6_hyp.trn.dtl
1,a,n-rea1-f6_hyp.trn.dtl
1,day,n-rea1-f6_hyp.trn.dtl
1,her,n-rea1-f6_hyp.trn.dtl
1,poor,n-rea1-f6_hyp.trn.dtl
1,that,n-rea1-f6_hyp.trn.dtl
1,upon,n-rea1-f6_hyp.trn.dtl
1,cinders,n-rea1-m1_hyp.trn.dtl
1,had,n-rea1-m1_hyp.trn.dtl
2,lily,n-rea1-m2_hyp.trn.dtl
1,mother,n-rea1-m2_hyp.trn.dtl
1,sep,n-rea1-m3_hyp.trn.dtl
1,their,n-rea1-m3_hyp.trn.dtl
1,they,n-rea1-m3_hyp.trn.dtl
1,hat,n-rea1-m4_hyp.trn.dtl
1,to,n-rea1-m4_hyp.trn.dtl
