Count,Deleted_Word,Filename
1,,
5,the,b-rea1-f1_hyp.trn.dtl
4,and,b-rea1-f1_hyp.trn.dtl
3,a,b-rea1-f1_hyp.trn.dtl
3,ball,b-rea1-f1_hyp.trn.dtl
3,cinders,b-rea1-f1_hyp.trn.dtl
3,had,b-rea1-f1_hyp.trn.dtl
3,they,b-rea1-f1_hyp.trn.dtl
3,to,b-rea1-f1_hyp.trn.dtl
2,all,b-rea1-f1_hyp.trn.dtl
2,at,b-rea1-f1_hyp.trn.dtl
2,find,b-rea1-f1_hyp.trn.dtl
2,my,b-rea1-f1_hyp.trn.dtl
2,of,b-rea1-f1_hyp.trn.dtl
2,their,b-rea1-f1_hyp.trn.dtl
1,announce,b-rea1-f1_hyp.trn.dtl
1,arrived,b-rea1-f1_hyp.trn.dtl
1,be,b-rea1-f1_hyp.trn.dtl
1,bells,b-rea1-f1_hyp.trn.dtl
1,bride,b-rea1-f1_hyp.trn.dtl
1,buying,b-rea1-f1_hyp.trn.dtl
1,cleaning,b-rea1-f1_hyp.trn.dtl
1,clothes,b-rea1-f1_hyp.trn.dtl
1,do,b-rea1-f1_hyp.trn.dtl
1,downs,b-rea1-f1_hyp.trn.dtl
1,dreamed,b-rea1-f1_hyp.trn.dtl
1,evening,b-rea1-f1_hyp.trn.dtl
1,for,b-rea1-f1_hyp.trn.dtl
1,hand,b-rea1-f1_hyp.trn.dtl
1,he,b-rea1-f1_hyp.trn.dtl
1,held,b-rea1-f1_hyp.trn.dtl
1,help,b-rea1-f1_hyp.trn.dtl
1,her,b-rea1-f1_hyp.trn.dtl
1,jewels,b-rea1-f1_hyp.trn.dtl
1,lily,b-rea1-f1_hyp.trn.dtl
1,looking,b-rea1-f1_hyp.trn.dtl
1,me,b-rea1-f1_hyp.trn.dtl
1,new,b-rea1-f1_hyp.trn.dtl
1,old,b-rea1-f1_hyp.trn.dtl
1,one,b-rea1-f1_hyp.trn.dtl
1,palace,b-rea1-f1_hyp.trn.dtl
1,poor,b-rea1-f1_hyp.trn.dtl
1,prince,b-rea1-f1_hyp.trn.dtl
1,royal,b-rea1-f1_hyp.trn.dtl
1,she,b-rea1-f1_hyp.trn.dtl
1,spent,b-rea1-f1_hyp.trn.dtl
1,that,b-rea1-f1_hyp.trn.dtl
1,time,b-rea1-f1_hyp.trn.dtl
1,was,b-rea1-f1_hyp.trn.dtl
1,wear,b-rea1-f1_hyp.trn.dtl
1,wedding,b-rea1-f1_hyp.trn.dtl
1,were,b-rea1-f1_hyp.trn.dtl
1,when,b-rea1-f1_hyp.trn.dtl
1,william,b-rea1-f1_hyp.trn.dtl
1,would,b-rea1-f1_hyp.trn.dtl
1,yelled,b-rea1-f1_hyp.trn.dtl
2,and,b-rea1-f2_hyp.trn.dtl
2,cinders,b-rea1-f2_hyp.trn.dtl
2,lily,b-rea1-f2_hyp.trn.dtl
2,rosa,b-rea1-f2_hyp.trn.dtl
2,the,b-rea1-f2_hyp.trn.dtl
2,they,b-rea1-f2_hyp.trn.dtl
2,was,b-rea1-f2_hyp.trn.dtl
1,announce,b-rea1-f2_hyp.trn.dtl
1,arrived,b-rea1-f2_hyp.trn.dtl
1,at,b-rea1-f2_hyp.trn.dtl
1,ball,b-rea1-f2_hyp.trn.dtl
1,called,b-rea1-f2_hyp.trn.dtl
1,day,b-rea1-f2_hyp.trn.dtl
1,divine,b-rea1-f2_hyp.trn.dtl
1,evening,b-rea1-f2_hyp.trn.dtl
1,go,b-rea1-f2_hyp.trn.dtl
1,gorgeous,b-rea1-f2_hyp.trn.dtl
1,had,b-rea1-f2_hyp.trn.dtl
1,hand,b-rea1-f2_hyp.trn.dtl
1,her,b-rea1-f2_hyp.trn.dtl
1,howled,b-rea1-f2_hyp.trn.dtl
1,jewels,b-rea1-f2_hyp.trn.dtl
1,my,b-rea1-f2_hyp.trn.dtl
1,of,b-rea1-f2_hyp.trn.dtl
1,one,b-rea1-f2_hyp.trn.dtl
1,only,b-rea1-f2_hyp.trn.dtl
1,poor,b-rea1-f2_hyp.trn.dtl
1,prince,b-rea1-f2_hyp.trn.dtl
1,shouting,b-rea1-f2_hyp.trn.dtl
1,si-,b-rea1-f2_hyp.trn.dtl
1,their,b-rea1-f2_hyp.trn.dtl
1,this,b-rea1-f2_hyp.trn.dtl
1,thought,b-rea1-f2_hyp.trn.dtl
1,to,b-rea1-f2_hyp.trn.dtl
1,when,b-rea1-f2_hyp.trn.dtl
1,william,b-rea1-f2_hyp.trn.dtl
1,yelled,b-rea1-f2_hyp.trn.dtl
6,they,b-rea1-f3_hyp.trn.dtl
5,to,b-rea1-f3_hyp.trn.dtl
3,all,b-rea1-f3_hyp.trn.dtl
3,and,b-rea1-f3_hyp.trn.dtl
3,had,b-rea1-f3_hyp.trn.dtl
3,the,b-rea1-f3_hyp.trn.dtl
3,their,b-rea1-f3_hyp.trn.dtl
2,cinders,b-rea1-f3_hyp.trn.dtl
2,find,b-rea1-f3_hyp.trn.dtl
2,gowns,b-rea1-f3_hyp.trn.dtl
2,my,b-rea1-f3_hyp.trn.dtl
2,new,b-rea1-f3_hyp.trn.dtl
2,of,b-rea1-f3_hyp.trn.dtl
2,rosa,b-rea1-f3_hyp.trn.dtl
2,were,b-rea1-f3_hyp.trn.dtl
1,a,b-rea1-f3_hyp.trn.dtl
1,arrived,b-rea1-f3_hyp.trn.dtl
1,at,b-rea1-f3_hyp.trn.dtl
1,bad,b-rea1-f3_hyp.trn.dtl
1,ball,b-rea1-f3_hyp.trn.dtl
1,bells,b-rea1-f3_hyp.trn.dtl
1,but,b-rea1-f3_hyp.trn.dtl
1,buy,b-rea1-f3_hyp.trn.dtl
1,buying,b-rea1-f3_hyp.trn.dtl
1,came,b-rea1-f3_hyp.trn.dtl
1,cleaning,b-rea1-f3_hyp.trn.dtl
1,clothes,b-rea1-f3_hyp.trn.dtl
1,do,b-rea1-f3_hyp.trn.dtl
1,downs,b-rea1-f3_hyp.trn.dtl
1,dreamed,b-rea1-f3_hyp.trn.dtl
1,enough,b-rea1-f3_hyp.trn.dtl
1,evening,b-rea1-f3_hyp.trn.dtl
1,get,b-rea1-f3_hyp.trn.dtl
1,girls,b-rea1-f3_hyp.trn.dtl
1,going,b-rea1-f3_hyp.trn.dtl
1,hand,b-rea1-f3_hyp.trn.dtl
1,hat,b-rea1-f3_hyp.trn.dtl
1,her,b-rea1-f3_hyp.trn.dtl
1,howled,b-rea1-f3_hyp.trn.dtl
1,in,b-rea1-f3_hyp.trn.dtl
1,jewels,b-rea1-f3_hyp.trn.dtl
1,lazy,b-rea1-f3_hyp.trn.dtl
1,lily,b-rea1-f3_hyp.trn.dtl
1,me,b-rea1-f3_hyp.trn.dtl
1,mood,b-rea1-f3_hyp.trn.dtl
1,mother,b-rea1-f3_hyp.trn.dtl
1,old,b-rea1-f3_hyp.trn.dtl
1,one,b-rea1-f3_hyp.trn.dtl
1,other,b-rea1-f3_hyp.trn.dtl
1,parties,b-rea1-f3_hyp.trn.dtl
1,poor,b-rea1-f3_hyp.trn.dtl
1,prince,b-rea1-f3_hyp.trn.dtl
1,ready,b-rea1-f3_hyp.trn.dtl
1,said,b-rea1-f3_hyp.trn.dtl
1,she,b-rea1-f3_hyp.trn.dtl
1,shouting,b-rea1-f3_hyp.trn.dtl
1,sisters,b-rea1-f3_hyp.trn.dtl
1,so,b-rea1-f3_hyp.trn.dtl
1,some,b-rea1-f3_hyp.trn.dtl
1,spent,b-rea1-f3_hyp.trn.dtl
1,started,b-rea1-f3_hyp.trn.dtl
1,that,b-rea1-f3_hyp.trn.dtl
1,they'd,b-rea1-f3_hyp.trn.dtl
1,thought,b-rea1-f3_hyp.trn.dtl
1,time,b-rea1-f3_hyp.trn.dtl
1,wanted,b-rea1-f3_hyp.trn.dtl
1,was,b-rea1-f3_hyp.trn.dtl
1,wear,b-rea1-f3_hyp.trn.dtl
1,wedding,b-rea1-f3_hyp.trn.dtl
1,when,b-rea1-f3_hyp.trn.dtl
1,william,b-rea1-f3_hyp.trn.dtl
1,yelled,b-rea1-f3_hyp.trn.dtl
3,lily,b-rea1-f4_hyp.trn.dtl
2,a,b-rea1-f4_hyp.trn.dtl
2,cinders,b-rea1-f4_hyp.trn.dtl
2,the,b-rea1-f4_hyp.trn.dtl
2,they,b-rea1-f4_hyp.trn.dtl
1,all,b-rea1-f4_hyp.trn.dtl
1,and,b-rea1-f4_hyp.trn.dtl
1,arrived,b-rea1-f4_hyp.trn.dtl
1,at,b-rea1-f4_hyp.trn.dtl
1,ball,b-rea1-f4_hyp.trn.dtl
1,but,b-rea1-f4_hyp.trn.dtl
1,called,b-rea1-f4_hyp.trn.dtl
1,do,b-rea1-f4_hyp.trn.dtl
1,dreamed,b-rea1-f4_hyp.trn.dtl
1,find,b-rea1-f4_hyp.trn.dtl
1,gowns,b-rea1-f4_hyp.trn.dtl
1,hat,b-rea1-f4_hyp.trn.dtl
1,howled,b-rea1-f4_hyp.trn.dtl
1,jewels,b-rea1-f4_hyp.trn.dtl
1,lazy,b-rea1-f4_hyp.trn.dtl
1,mother,b-rea1-f4_hyp.trn.dtl
1,my,b-rea1-f4_hyp.trn.dtl
1,of,b-rea1-f4_hyp.trn.dtl
1,once,b-rea1-f4_hyp.trn.dtl
1,other,b-rea1-f4_hyp.trn.dtl
1,shouting,b-rea1-f4_hyp.trn.dtl
1,that,b-rea1-f4_hyp.trn.dtl
1,their,b-rea1-f4_hyp.trn.dtl
1,to,b-rea1-f4_hyp.trn.dtl
1,upon,b-rea1-f4_hyp.trn.dtl
1,were,b-rea1-f4_hyp.trn.dtl
3,a,b-rea1-f5_hyp.trn.dtl
3,their,b-rea1-f5_hyp.trn.dtl
3,was,b-rea1-f5_hyp.trn.dtl
2,and,b-rea1-f5_hyp.trn.dtl
2,called,b-rea1-f5_hyp.trn.dtl
2,cinders,b-rea1-f5_hyp.trn.dtl
2,gowns,b-rea1-f5_hyp.trn.dtl
2,her,b-rea1-f5_hyp.trn.dtl
2,in,b-rea1-f5_hyp.trn.dtl
2,lily,b-rea1-f5_hyp.trn.dtl
2,of,b-rea1-f5_hyp.trn.dtl
2,rosa,b-rea1-f5_hyp.trn.dtl
2,the,b-rea1-f5_hyp.trn.dtl
2,they,b-rea1-f5_hyp.trn.dtl
1,arrived,b-rea1-f5_hyp.trn.dtl
1,at,b-rea1-f5_hyp.trn.dtl
1,bad,b-rea1-f5_hyp.trn.dtl
1,ball,b-rea1-f5_hyp.trn.dtl
1,but,b-rea1-f5_hyp.trn.dtl
1,came,b-rea1-f5_hyp.trn.dtl
1,divine,b-rea1-f5_hyp.trn.dtl
1,do,b-rea1-f5_hyp.trn.dtl
1,dreamed,b-rea1-f5_hyp.trn.dtl
1,evening,b-rea1-f5_hyp.trn.dtl
1,find,b-rea1-f5_hyp.trn.dtl
1,for,b-rea1-f5_hyp.trn.dtl
1,get,b-rea1-f5_hyp.trn.dtl
1,gorgeous,b-rea1-f5_hyp.trn.dtl
1,had,b-rea1-f5_hyp.trn.dtl
1,hand,b-rea1-f5_hyp.trn.dtl
1,he,b-rea1-f5_hyp.trn.dtl
1,help,b-rea1-f5_hyp.trn.dtl
1,lazy,b-rea1-f5_hyp.trn.dtl
1,looking,b-rea1-f5_hyp.trn.dtl
1,me,b-rea1-f5_hyp.trn.dtl
1,messenger,b-rea1-f5_hyp.trn.dtl
1,mother,b-rea1-f5_hyp.trn.dtl
1,my,b-rea1-f5_hyp.trn.dtl
1,new,b-rea1-f5_hyp.trn.dtl
1,old,b-rea1-f5_hyp.trn.dtl
1,only,b-rea1-f5_hyp.trn.dtl
1,poor,b-rea1-f5_hyp.trn.dtl
1,prince,b-rea1-f5_hyp.trn.dtl
1,ready,b-rea1-f5_hyp.trn.dtl
1,royal,b-rea1-f5_hyp.trn.dtl
1,said,b-rea1-f5_hyp.trn.dtl
1,shouting,b-rea1-f5_hyp.trn.dtl
1,sisters,b-rea1-f5_hyp.trn.dtl
1,that,b-rea1-f5_hyp.trn.dtl
1,this,b-rea1-f5_hyp.trn.dtl
1,thought,b-rea1-f5_hyp.trn.dtl
1,time,b-rea1-f5_hyp.trn.dtl
1,to,b-rea1-f5_hyp.trn.dtl
1,were,b-rea1-f5_hyp.trn.dtl
1,when,b-rea1-f5_hyp.trn.dtl
1,william,b-rea1-f5_hyp.trn.dtl
3,and,b-rea1-f6_hyp.trn.dtl
3,ball,b-rea1-f6_hyp.trn.dtl
3,the,b-rea1-f6_hyp.trn.dtl
2,a,b-rea1-f6_hyp.trn.dtl
2,all,b-rea1-f6_hyp.trn.dtl
2,lily,b-rea1-f6_hyp.trn.dtl
2,prince,b-rea1-f6_hyp.trn.dtl
2,rosa,b-rea1-f6_hyp.trn.dtl
2,their,b-rea1-f6_hyp.trn.dtl
2,william,b-rea1-f6_hyp.trn.dtl
1,announce,b-rea1-f6_hyp.trn.dtl
1,arrived,b-rea1-f6_hyp.trn.dtl
1,at,b-rea1-f6_hyp.trn.dtl
1,be,b-rea1-f6_hyp.trn.dtl
1,buy,b-rea1-f6_hyp.trn.dtl
1,buying,b-rea1-f6_hyp.trn.dtl
1,came,b-rea1-f6_hyp.trn.dtl
1,cinders,b-rea1-f6_hyp.trn.dtl
1,day,b-rea1-f6_hyp.trn.dtl
1,divine,b-rea1-f6_hyp.trn.dtl
1,find,b-rea1-f6_hyp.trn.dtl
1,get,b-rea1-f6_hyp.trn.dtl
1,girls,b-rea1-f6_hyp.trn.dtl
1,gowns,b-rea1-f6_hyp.trn.dtl
1,hand,b-rea1-f6_hyp.trn.dtl
1,hat,b-rea1-f6_hyp.trn.dtl
1,held,b-rea1-f6_hyp.trn.dtl
1,honour,b-rea1-f6_hyp.trn.dtl
1,howled,b-rea1-f6_hyp.trn.dtl
1,in,b-rea1-f6_hyp.trn.dtl
1,mother,b-rea1-f6_hyp.trn.dtl
1,my,b-rea1-f6_hyp.trn.dtl
1,new,b-rea1-f6_hyp.trn.dtl
1,of,b-rea1-f6_hyp.trn.dtl
1,one,b-rea1-f6_hyp.trn.dtl
1,only,b-rea1-f6_hyp.trn.dtl
1,palace,b-rea1-f6_hyp.trn.dtl
1,poor,b-rea1-f6_hyp.trn.dtl
1,queen's,b-rea1-f6_hyp.trn.dtl
1,ready,b-rea1-f6_hyp.trn.dtl
1,royal,b-rea1-f6_hyp.trn.dtl
1,some,b-rea1-f6_hyp.trn.dtl
1,son,b-rea1-f6_hyp.trn.dtl
1,spent,b-rea1-f6_hyp.trn.dtl
1,that,b-rea1-f6_hyp.trn.dtl
1,they,b-rea1-f6_hyp.trn.dtl
1,this,b-rea1-f6_hyp.trn.dtl
1,thought,b-rea1-f6_hyp.trn.dtl
1,time,b-rea1-f6_hyp.trn.dtl
1,to,b-rea1-f6_hyp.trn.dtl
1,was,b-rea1-f6_hyp.trn.dtl
1,would,b-rea1-f6_hyp.trn.dtl
1,a,b-rea1-m1_hyp.trn.dtl
1,all,b-rea1-m1_hyp.trn.dtl
1,and,b-rea1-m1_hyp.trn.dtl
1,called,b-rea1-m1_hyp.trn.dtl
1,gowns,b-rea1-m1_hyp.trn.dtl
1,hat,b-rea1-m1_hyp.trn.dtl
1,howled,b-rea1-m1_hyp.trn.dtl
1,jewels,b-rea1-m1_hyp.trn.dtl
1,lily,b-rea1-m1_hyp.trn.dtl
1,old,b-rea1-m1_hyp.trn.dtl
1,one,b-rea1-m1_hyp.trn.dtl
1,started,b-rea1-m1_hyp.trn.dtl
1,that,b-rea1-m1_hyp.trn.dtl
1,their,b-rea1-m1_hyp.trn.dtl
1,they,b-rea1-m1_hyp.trn.dtl
1,they'd,b-rea1-m1_hyp.trn.dtl
1,yelled,b-rea1-m1_hyp.trn.dtl
3,a,b-rea1-m2_hyp.trn.dtl
3,and,b-rea1-m2_hyp.trn.dtl
3,lily,b-rea1-m2_hyp.trn.dtl
2,rosa,b-rea1-m2_hyp.trn.dtl
2,they,b-rea1-m2_hyp.trn.dtl
2,was,b-rea1-m2_hyp.trn.dtl
1,announce,b-rea1-m2_hyp.trn.dtl
1,at,b-rea1-m2_hyp.trn.dtl
1,ball,b-rea1-m2_hyp.trn.dtl
1,bells,b-rea1-m2_hyp.trn.dtl
1,bride,b-rea1-m2_hyp.trn.dtl
1,called,b-rea1-m2_hyp.trn.dtl
1,cinders,b-rea1-m2_hyp.trn.dtl
1,dreamed,b-rea1-m2_hyp.trn.dtl
1,for,b-rea1-m2_hyp.trn.dtl
1,gorgeous,b-rea1-m2_hyp.trn.dtl
1,hat,b-rea1-m2_hyp.trn.dtl
1,he,b-rea1-m2_hyp.trn.dtl
1,lazy,b-rea1-m2_hyp.trn.dtl
1,looking,b-rea1-m2_hyp.trn.dtl
1,of,b-rea1-m2_hyp.trn.dtl
1,poor,b-rea1-m2_hyp.trn.dtl
1,prince,b-rea1-m2_hyp.trn.dtl
1,spent,b-rea1-m2_hyp.trn.dtl
1,we,b-rea1-m2_hyp.trn.dtl
1,wedding,b-rea1-m2_hyp.trn.dtl
1,william,b-rea1-m2_hyp.trn.dtl
3,they,b-rea1-m3_hyp.trn.dtl
1,a,b-rea1-m3_hyp.trn.dtl
1,and,b-rea1-m3_hyp.trn.dtl
1,announce,b-rea1-m3_hyp.trn.dtl
1,bride,b-rea1-m3_hyp.trn.dtl
1,called,b-rea1-m3_hyp.trn.dtl
1,gowns,b-rea1-m3_hyp.trn.dtl
1,jewels,b-rea1-m3_hyp.trn.dtl
1,lazy,b-rea1-m3_hyp.trn.dtl
1,lily,b-rea1-m3_hyp.trn.dtl
1,looking,b-rea1-m3_hyp.trn.dtl
1,new,b-rea1-m3_hyp.trn.dtl
1,one,b-rea1-m3_hyp.trn.dtl
1,so,b-rea1-m3_hyp.trn.dtl
1,their,b-rea1-m3_hyp.trn.dtl
1,time,b-rea1-m3_hyp.trn.dtl
1,were,b-rea1-m3_hyp.trn.dtl
1,yelled,b-rea1-m3_hyp.trn.dtl
3,and,b-rea1-m4_hyp.trn.dtl
2,a,b-rea1-m4_hyp.trn.dtl
2,lily,b-rea1-m4_hyp.trn.dtl
2,they,b-rea1-m4_hyp.trn.dtl
2,yelled,b-rea1-m4_hyp.trn.dtl
1,all,b-rea1-m4_hyp.trn.dtl
1,announce,b-rea1-m4_hyp.trn.dtl
1,ball,b-rea1-m4_hyp.trn.dtl
1,he,b-rea1-m4_hyp.trn.dtl
1,honour,b-rea1-m4_hyp.trn.dtl
1,in,b-rea1-m4_hyp.trn.dtl
1,jewels,b-rea1-m4_hyp.trn.dtl
1,lived,b-rea1-m4_hyp.trn.dtl
1,one,b-rea1-m4_hyp.trn.dtl
1,poor,b-rea1-m4_hyp.trn.dtl
1,rosa,b-rea1-m4_hyp.trn.dtl
1,spent,b-rea1-m4_hyp.trn.dtl
1,the,b-rea1-m4_hyp.trn.dtl
1,this,b-rea1-m4_hyp.trn.dtl
3,they,b-rea1-m5_hyp.trn.dtl
2,lily,b-rea1-m5_hyp.trn.dtl
2,rosa,b-rea1-m5_hyp.trn.dtl
2,were,b-rea1-m5_hyp.trn.dtl
1,all,b-rea1-m5_hyp.trn.dtl
1,and,b-rea1-m5_hyp.trn.dtl
1,girls,b-rea1-m5_hyp.trn.dtl
1,jewels,b-rea1-m5_hyp.trn.dtl
1,lazy,b-rea1-m5_hyp.trn.dtl
1,one,b-rea1-m5_hyp.trn.dtl
1,poor,b-rea1-m5_hyp.trn.dtl
1,spent,b-rea1-m5_hyp.trn.dtl
1,that,b-rea1-m5_hyp.trn.dtl
1,their,b-rea1-m5_hyp.trn.dtl
1,this,b-rea1-m5_hyp.trn.dtl
1,thought,b-rea1-m5_hyp.trn.dtl
1,to,b-rea1-m5_hyp.trn.dtl
1,very,b-rea1-m5_hyp.trn.dtl
1,was,b-rea1-m5_hyp.trn.dtl
1,wear,b-rea1-m5_hyp.trn.dtl
1,yelled,b-rea1-m5_hyp.trn.dtl
2,lily,b-rea1-m6_hyp.trn.dtl
1,a,b-rea1-m6_hyp.trn.dtl
1,all,b-rea1-m6_hyp.trn.dtl
1,and,b-rea1-m6_hyp.trn.dtl
1,day,b-rea1-m6_hyp.trn.dtl
