File,WER,Sub,Del,Ins
b-rea1-f1,60.3,13.4,44.7,2.2,
b-rea1-f2,45.1,18.7,24.2,2.2,
b-rea1-f3,69.8,14.3,54.4,1.1,
b-rea1-f4,39.4,17.8,20.6,1.1,
b-rea1-f5,62.9,20.8,41.0,1.1,
b-rea1-f6,51.6,14.3,35.7,1.6,
b-rea1-m1,34.4,22.2,9.4,2.8,
b-rea1-m2,40.0,17.8,20.0,2.2,
b-rea1-m3,29.3,17.4,10.9,1.1,
b-rea1-m4,34.6,20.5,13.5,0.5,
b-rea1-m5,38.7,21.5,14.4,2.8,
b-rea1-m6,27.7,16.3,9.8,1.6,
c-rea1-f1,45.9,7.7,35.4,2.8,
c-rea1-f2,48.0,15.1,31.8,1.1,
c-rea1-f3,42.7,19.1,21.3,2.2,
c-rea1-f4,37.8,13.9,23.9,0.0,
c-rea1-f5,36.9,26.2,8.7,1.9,
c-rea1-f6,18.8,11.6,6.1,1.1,
c-rea1-m1,35.4,16.9,17.5,1.1,
c-rea1-m2,38.1,11.0,24.9,2.2,
c-rea1-m3,42.8,7.8,35.0,0.0,
c-rea1-m4,40.2,22.1,16.2,2.0,
c-rea1-m5,20.7,12.4,6.7,1.6,
c-rea1-m6,42.5,17.9,23.5,1.1,
car-rea1-f1,29.7,22.1,6.2,1.5,
car-rea1-f2,33.7,17.9,13.8,2.0,
car-rea1-f3,44.0,26.6,14.7,2.7,
car-rea1-f4,31.4,22.3,5.9,3.2,
car-rea1-m1,31.7,21.5,9.1,1.1,
car-rea1-m2,26.0,16.7,7.8,1.5,
car-rea1-m3,29.7,19.8,8.9,1.0,
car-rea1-m4,26.9,16.7,8.1,2.2,
d-rea1-f1,29.5,13.7,13.7,2.2,
d-rea1-f2,30.2,20.1,7.4,2.6,
d-rea1-f3,23.4,13.0,8.7,1.6,
d-rea1-f4,27.1,17.7,8.3,1.1,
d-rea1-f5,34.4,23.3,7.8,3.3,
d-rea1-f6,37.4,17.2,16.3,3.9,
d-rea1-m1,49.8,22.7,25.1,1.9,
d-rea1-m2,44.6,23.4,16.3,4.9,
d-rea1-m3,28.2,17.7,9.4,1.1,
d-rea1-m4,49.5,25.8,23.1,0.5,
d-rea1-m6,22.4,12.6,9.3,0.5,
j-rea1-f1,30.1,22.4,6.6,1.1,
j-rea1-f2,19.3,13.9,2.1,3.2,
j-rea1-f3,39.8,24.3,12.7,2.8,
j-rea1-f4,23.5,12.8,7.0,3.7,
j-rea1-f5,24.5,15.8,6.0,2.7,
j-rea1-f6,17.2,13.3,3.3,0.6,
j-rea1-f7,23.8,15.5,6.6,1.7,
j-rea1-m1,22.8,14.3,6.3,2.1,
j-rea1-m2,26.8,15.5,8.8,2.6,
j-rea1-m3,44.7,23.2,20.0,1.6,
j-rea1-m4,31.0,19.6,9.2,2.2,
j-rea1-m5,23.5,11.8,9.6,2.1,
l-rea1-f1,30.4,19.6,9.2,1.6,
l-rea1-f2,18.6,10.4,5.5,2.7,
l-rea1-f3,33.5,22.9,8.5,2.1,
l-rea1-f5,21.2,15.8,4.3,1.1,
l-rea1-f6,51.3,12.2,38.6,0.5,
l-rea1-m1,22.9,18.4,2.2,2.2,
l-rea1-m2,28.3,18.5,8.7,1.1,
l-rea1-m3,32.4,23.6,7.7,1.1,
l-rea1-m4,25.1,19.6,4.5,1.1,
l-rea1-m5,42.9,22.8,20.1,0.0,
l-rea1-m6,43.9,22.8,20.0,1.1,
liv-rea1-f1,31.9,20.2,10.1,1.6,
liv-rea1-f2,33.9,23.3,8.9,1.7,
liv-rea1-f3,33.0,22.0,9.9,1.1,
liv-rea1-f4,24.2,17.5,5.2,1.5,
liv-rea1-f5,42.3,25.3,15.4,1.6,
liv-rea1-f6,59.3,23.6,35.2,0.5,
liv-rea1-f7,53.3,13.9,38.9,0.6,
liv-rea1-m1,42.5,26.2,8.9,7.5,
liv-rea1-m2,27.1,17.0,4.8,5.3,
liv-rea1-m3,31.1,21.7,5.0,4.4,
liv-rea1-m4,31.7,16.9,13.8,1.1,
liv-rea1-m5,40.3,31.2,7.0,2.2,
n-rea1-f1,33.0,23.6,6.6,2.7,
n-rea1-f2,38.5,23.6,12.6,2.2,
n-rea1-f3,40.0,27.2,11.7,1.1,
n-rea1-f4,38.7,26.5,7.2,5.0,
n-rea1-f5,45.6,32.8,11.7,1.1,
n-rea1-f6,46.1,27.2,15.6,3.3,
n-rea1-m1,29.1,21.2,5.6,2.2,
n-rea1-m2,32.4,20.7,8.9,2.8,
n-rea1-m3,36.7,27.8,3.9,5.0,
n-rea1-m4,25.7,16.8,5.6,3.4,
n-rea1-m5,25.0,16.5,8.0,0.5,
n-rea1-m6,26.4,15.2,9.1,2.0,
p-rea1-f1,21.5,14.9,5.5,1.1,
p-rea1-f2,47.5,30.7,15.1,1.7,
p-rea1-f3,40.3,24.7,14.0,1.6,
p-rea1-f4,40.6,28.3,9.4,2.8,
p-rea1-f5,33.3,19.1,12.6,1.6,
p-rea1-f6,50.6,24.7,25.3,0.6,
p-rea1-f7,38.5,24.2,13.2,1.1,
p-rea1-m1,29.0,17.1,10.4,1.6,
p-rea1-m2,46.7,20.1,26.1,0.5,
p-rea1-m3,55.1,22.5,32.6,0.0,
p-rea1-m4,21.7,15.8,4.3,1.6,
p-rea1-m6,34.3,24.3,6.6,3.3,
