File	chunk	chunk_Start	chunk_End	words_Chunk	words_per_second	syllable_count	syllables_per_second
bel-rea1-f1	1	0	63.8675625	207	3.2410818872256164	646	10.114680672211344
bel-rea1-f2	1	0	67.454375	216	3.2021644259545803	656	9.725091960306504
bel-rea1-f3	1	0	55.429	212	3.8247126955203954	667	12.033412112792941
bel-rea1-f4	1	0	58.73875	212	3.609201762039539	649	11.04892426209274
bel-rea1-f5	1	0	33.45	125	3.736920777279521	408	12.197309417040358
bel-rea1-f5	3	37.26	55.36225	74	4.08788962698007	227	12.539877639519945
bel-rea1-f6	1	0	59.51375	212	3.5622020121400517	653	10.972254310978554
bel-rea1-m1	1	0	55.408875	212	3.826101865450255	652	11.767068001290406
bel-rea1-m2	1	0	56.2645	205	3.6435052297629946	644	11.445938380328627
bel-rea1-m3	1	0	59.2106875	224	3.78310081267001	672	11.34930243801003
bel-rea1-m4	1	0	61.22825	214	3.495118674794723	665	10.86099962027332
bel-rea1-m5	1	0	66.041375	221	3.3463870187439313	662	10.024019033522546
bel-rea1-m6	1	0	72.125	223	3.0918544194107453	670	9.289428076256499
cam-rea1-f1	1	0	54.024875	204	3.7760383527032686	649	12.012984759335398
cam-rea1-f2	1	0	51.55975	201	3.898389732300874	636	12.335203332056498
cam-rea1-f3	1	0	48.7976875	200	4.098554875166984	637	13.053897277406843
cam-rea1-f4	1	0	56.5055	207	3.6633602038739594	649	11.48560759572077
cam-rea1-f5	1	0	66.59925	236	3.5435834487625613	730	10.961084396596059
cam-rea1-f6	1	0	64.6931875	214	3.307921718959976	654	10.109256094391702
cam-rea1-m1	1	0	57.9828125	223	3.8459672855641487	670	11.555148346762241
cam-rea1-m2	1	0	57.1805625	210	3.6725766732357696	653	11.41996460772837
cam-rea1-m3	1	0	60.931	211	3.4629334821355306	652	10.700628579869033
cam-rea1-m4	1	0	69.901625	244	3.4906198532580612	737	10.543388655127831
cam-rea1-m5	1	0	73.46925	229	3.116950288726236	692	9.418906549338669
cam-rea1-m6	1	0	47.816	202	4.224527354860298	640	13.384641124309853
car-rea1-f1	1	0	80.7285	233	2.886217382956453	701	8.683426547006324
car-rea1-f2	1	0	71.4605	235	3.2885300270778965	699	9.781627612457232
car-rea1-f3	1	0	62.2905	221	3.5478925357799342	674	10.820269543509845
car-rea1-f4	1	0	63.2075	225	3.559704149032947	680	10.758216983744017
car-rea1-m1	1	0	66.0264375	222	3.3622895374296093	670	10.147450405756027
car-rea1-m2	1	0	66.09825	239	3.6158294659843495	726	10.98364934018677
car-rea1-m3	1	0	78.7693125	235	2.9833953419359855	704	8.93749072648057
car-rea1-m4	1	0	63.011	221	3.507324118011141	669	10.617193823300694
dub-rea1-f1	1	0	68.953125	220	3.1905733061409474	667	9.67323815998187
dub-rea1-f2	1	0	70.264375	225	3.2021917223343976	683	9.720430872686194
dub-rea1-f3	1	0	56.7993125	212	3.7324395431722874	656	11.549435567551985
dub-rea1-f4	1	0	56.45325	207	3.6667508070837376	646	11.443096721623645
dub-rea1-f5	1	0	50.6598125	210	4.145297616330499	648	12.791204073248396
dub-rea1-f6	1	0	68.2663125	240	3.5156432391159256	736	10.78130593328884
dub-rea1-m1	1	0	64.663875	240	3.7115004320418468	730	11.289147147460618
dub-rea1-m2	1	0	56.5053125	218	3.858044321053883	660	11.680317669245701
dub-rea1-m3	1	0	59.257875	215	3.628209752712192	656	11.070258594321851
dub-rea1-m4	1	0	50.6580625	206	4.06648003957909	654	12.910087115945265
dub-rea1-m6	1	0	70.5895625	220	3.116608067942056	662	9.378157004443823
jam-rea1-f1	1	0	61.1965	221	3.6113176407147467	671	10.964679352577352
jam-rea1-f2	1	0	82.0715	233	2.8389879556240594	688	8.38293439257233
jam-rea1-f3	1	0	62.25775	213	3.4212608068874957	651	10.456529508374459
jam-rea1-f4	1	0	79.35325	243	3.06225642932079	693	8.733101668803736
jam-rea1-f5	1	0	72.181	233	3.227996287111567	677	9.379199512337042
jam-rea1-f6	1	0	74.184	226	3.046479025126712	662	8.923757144397714
jam-rea1-f7	1	0	59.68375	203	3.401260812197625	639	10.706431817705823
jam-rea1-m1	1	0	59.96525	223	3.7188204835300445	681	11.35657735104915
jam-rea1-m2	1	0	80.434	253	3.1454360096476615	723	8.988736106621579
jam-rea1-m3	1	0	81.0235	243	2.999129882071251	701	8.651810894370152
jam-rea1-m4	1	0	81.875	219	2.6748091603053434	666	8.134351145038169
jam-rea1-m5	1	0	115.64025	263	2.2742946335726533	702	6.070550694935371
lee-rea1-f1	1	0	61.2735625	217	3.5414947515088584	664	10.836647534570885
lee-rea1-f2	1	0	78.0768125	226	2.8945853802625456	671	8.594100841398975
lee-rea1-f3	1	0	61.4115	215	3.5009729448067546	666	10.844874331354877
lee-rea1-f5	1	0	59.0255625	216	3.6594314539569193	661	11.198537921599646
lee-rea1-f6	1	0	50.2285625	216	4.300342061352044	671	13.358932977626026
lee-rea1-m1	1	0	59.474625	211	3.547731490530625	645	10.84496119143248
lee-rea1-m2	1	0	60.4225625	209	3.458972796792589	655	10.84032144449352
lee-rea1-m3	1	0	53.9061875	209	3.87710594447066	652	12.095086487056797
lee-rea1-m4	1	0	53.6201875	210	3.9164353910549083	648	12.085000635255145
lee-rea1-m5	1	0	54.74925	217	3.9635246144924356	678	12.38373128399019
lee-rea1-m6	1	0	58.4674375	208	3.557535765100018	645	11.0317815792765
liv-rea1-f1	1	0	62.1275	221	3.55720091746811	682	10.977425455716068
liv-rea1-f2	1	0	64.1649375	215	3.350739646555411	656	10.223652130885347
liv-rea1-f3	1	0	56.4359375	214	3.7919100750297625	659	11.6769567263767
liv-rea1-f4	1	0	70.649625	231	3.2696564206816383	697	9.865586689242866
liv-rea1-f5	1	0	60.0201875	217	3.6154502183119637	657	10.94631702041917
liv-rea1-f6	1	0	54.494	213	3.9086871949205415	658	12.074723822806181
liv-rea1-f7	1	0	55.53875	210	3.7811437959982896	648	11.667529427651864
liv-rea1-m1	1	0	75.491875	264	3.4970650815071163	791	10.477948785879276
liv-rea1-m2	1	0	17.44	46	2.6376146788990824	155	8.887614678899082
