File,WER,Sub,Del,Ins
b-rea1-f1,8.9,5.6,1.1,2.2,
b-rea1-f2,19.8,13.2,3.8,2.7,
b-rea1-f3,19.2,14.3,1.6,3.3,
b-rea1-f4,17.2,12.2,1.1,3.9,
b-rea1-f5,32.0,22.5,5.1,4.5,
b-rea1-f6,18.7,13.2,3.8,1.6,
b-rea1-m1,17.2,11.7,3.9,1.7,
b-rea1-m2,27.2,20.6,2.8,3.9,
b-rea1-m3,12.0,6.0,2.2,3.8,
b-rea1-m4,28.1,23.2,2.7,2.2,
b-rea1-m5,22.1,14.9,3.3,3.9,
b-rea1-m6,20.7,16.8,1.1,2.7,
c-rea1-f1,10.5,6.6,1.1,2.8,
c-rea1-f2,12.8,9.5,2.2,1.1,
c-rea1-f3,11.2,7.3,2.8,1.1,
c-rea1-f4,13.9,11.1,1.7,1.1,
c-rea1-f5,14.1,11.7,1.5,1.0,
c-rea1-f6,12.7,9.4,1.7,1.7,
c-rea1-m1,11.6,7.4,2.6,1.6,
c-rea1-m2,9.9,6.6,1.7,1.7,
c-rea1-m3,2.8,1.7,0.0,1.1,
c-rea1-m4,14.2,9.3,2.5,2.5,
c-rea1-m5,12.4,8.8,2.6,1.0,
c-rea1-m6,9.5,7.8,1.1,0.6,
car-rea1-f1,16.4,11.8,2.6,2.1,
car-rea1-f2,18.9,13.3,3.1,2.6,
car-rea1-f3,19.0,13.6,1.6,3.8,
car-rea1-f4,15.4,9.6,3.7,2.1,
car-rea1-m1,16.7,12.4,2.7,1.6,
car-rea1-m2,12.7,8.3,2.9,1.5,
car-rea1-m3,13.5,8.9,3.1,1.6,
car-rea1-m4,11.8,9.7,2.2,0.0,
d-rea1-f1,12.6,8.7,2.2,1.6,
d-rea1-f2,12.2,7.4,2.6,2.1,
d-rea1-f3,4.9,3.8,0.5,0.5,
d-rea1-f4,8.8,5.0,2.2,1.7,
d-rea1-f5,9.4,7.8,0.6,1.1,
d-rea1-f6,13.8,9.4,1.5,3.0,
d-rea1-m1,18.4,12.1,2.9,3.4,
d-rea1-m2,16.8,13.0,2.7,1.1,
d-rea1-m3,7.2,5.5,0.6,1.1,
d-rea1-m4,22.0,14.8,4.4,2.7,
d-rea1-m6,9.3,7.7,1.1,0.5,
j-rea1-f1,9.3,6.0,1.6,1.6,
j-rea1-f2,6.4,4.3,0.5,1.6,
j-rea1-f3,19.3,12.7,3.9,2.8,
j-rea1-f4,14.4,8.6,2.1,3.7,
j-rea1-f5,10.3,7.1,1.6,1.6,
j-rea1-f6,10.0,7.8,1.7,0.6,
j-rea1-f7,7.2,6.6,0.0,0.6,
j-rea1-m1,12.2,9.0,2.1,1.1,
j-rea1-m2,18.6,11.9,4.1,2.6,
j-rea1-m3,36.8,25.3,5.3,6.3,
j-rea1-m4,22.8,17.9,1.1,3.8,
j-rea1-m5,19.3,11.8,2.1,5.3,
l-rea1-f1,16.3,11.4,2.2,2.7,
l-rea1-f2,7.1,3.8,1.1,2.2,
l-rea1-f3,9.6,6.4,1.6,1.6,
l-rea1-f5,5.4,3.8,1.1,0.5,
l-rea1-f6,13.2,7.9,4.8,0.5,
l-rea1-m1,10.6,7.8,1.1,1.7,
l-rea1-m2,18.5,13.0,2.7,2.7,
l-rea1-m3,18.7,13.7,3.8,1.1,
l-rea1-m4,11.2,8.9,1.1,1.1,
l-rea1-m5,12.7,10.6,1.6,0.5,
l-rea1-m6,17.8,12.2,4.4,1.1,
liv-rea1-f1,9.0,6.9,1.1,1.1,
liv-rea1-f2,18.3,15.0,0.6,2.8,
liv-rea1-f3,9.3,7.1,2.2,0.0,
liv-rea1-f4,20.1,13.4,3.6,3.1,
liv-rea1-f5,25.3,20.3,1.6,3.3,
liv-rea1-f6,15.4,12.1,2.2,1.1,
liv-rea1-f7,16.7,11.1,1.7,3.9,
liv-rea1-m1,23.4,15.0,3.3,5.1,
liv-rea1-m2,23.4,16.5,1.1,5.9,
liv-rea1-m3,16.7,12.8,2.2,1.7,
liv-rea1-m4,12.7,11.1,1.1,0.5,
liv-rea1-m5,13.4,11.3,2.2,0.0,
n-rea1-f1,11.0,7.7,2.7,0.5,
n-rea1-f2,14.3,11.5,2.2,0.5,
n-rea1-f3,16.1,13.3,2.8,0.0,
n-rea1-f4,17.1,12.2,2.8,2.2,
n-rea1-f5,18.3,16.7,1.1,0.6,
n-rea1-f6,21.1,15.0,4.4,1.7,
n-rea1-m1,10.6,7.8,1.1,1.7,
n-rea1-m2,24.0,18.4,1.7,3.9,
n-rea1-m3,14.4,11.1,1.7,1.7,
n-rea1-m4,14.5,11.2,1.1,2.2,
n-rea1-m5,14.9,11.2,2.1,1.6,
n-rea1-m6,21.3,13.2,4.1,4.1,
p-rea1-f1,5.5,4.4,0.6,0.6,
p-rea1-f2,24.0,19.6,2.2,2.2,
p-rea1-f3,21.5,17.2,2.2,2.2,
p-rea1-f4,18.3,13.9,2.8,1.7,
p-rea1-f5,14.8,9.8,3.8,1.1,
p-rea1-f6,24.2,18.5,2.8,2.8,
p-rea1-f7,19.8,14.3,4.4,1.1,
p-rea1-m1,21.8,15.0,3.6,3.1,
p-rea1-m2,22.8,17.9,2.7,2.2,
p-rea1-m3,26.7,18.2,5.9,2.7,
p-rea1-m4,17.4,10.9,1.6,4.9,
p-rea1-m6,22.7,16.0,2.2,4.4,
