File,WER,Sub,Del,Ins
arabic10,10.1,5.8,0.0,4.3,
arabic11,10.1,7.2,1.4,1.4,
arabic12,36.2,27.5,2.9,5.8,
arabic13,14.5,13.0,1.4,0.0,
arabic14,21.7,18.8,0.0,2.9,
arabic15,31.9,11.6,2.9,17.4,
arabic16,15.9,13.0,2.9,0.0,
arabic17,18.8,15.9,1.4,1.4,
arabic18,17.4,15.9,1.4,0.0,
arabic19,26.1,21.7,0.0,4.3,
arabic1,29.0,24.6,1.4,2.9,
arabic20,33.3,30.4,2.9,0.0,
arabic21,7.2,7.2,0.0,0.0,
arabic22,33.3,26.1,7.2,0.0,
arabic23,11.6,8.7,0.0,2.9,
arabic24,49.3,34.8,2.9,11.6,
arabic25,5.8,2.9,0.0,2.9,
arabic26,26.1,18.8,0.0,7.2,
arabic29,43.5,33.3,1.4,8.7,
arabic2,2.9,1.4,0.0,1.4,
arabic30,14.5,7.2,1.4,5.8,
arabic31,47.8,24.6,1.4,21.7,
arabic32,15.9,11.6,1.4,2.9,
arabic33,34.8,20.3,1.4,13.0,
arabic34,5.8,5.8,0.0,0.0,
arabic35,30.4,17.4,10.1,2.9,
arabic36,23.2,13.0,2.9,7.2,
arabic37,20.3,15.9,2.9,1.4,
arabic38,4.3,4.3,0.0,0.0,
arabic39,30.4,20.3,7.2,2.9,
arabic3,37.7,23.2,1.4,13.0,
arabic40,23.2,21.7,1.4,0.0,
arabic41,34.8,23.2,4.3,7.2,
arabic43,15.9,13.0,1.4,1.4,
arabic44,17.4,10.1,0.0,7.2,
arabic45,14.5,13.0,0.0,1.4,
arabic46,23.2,15.9,1.4,5.8,
arabic48,39.1,34.8,4.3,0.0,
arabic49,33.3,21.7,1.4,10.1,
arabic4,29.0,21.7,4.3,2.9,
arabic50,29.0,26.1,0.0,2.9,
arabic51,8.7,7.2,1.4,0.0,
arabic52,1.4,1.4,0.0,0.0,
arabic53,14.5,8.7,2.9,2.9,
arabic54,5.8,4.3,1.4,0.0,
arabic55,17.4,13.0,1.4,2.9,
arabic56,13.0,11.6,0.0,1.4,
arabic57,4.3,4.3,0.0,0.0,
arabic58,15.9,14.5,1.4,0.0,
arabic59,14.5,13.0,1.4,0.0,
arabic5,14.5,13.0,0.0,1.4,
arabic60,23.2,20.3,1.4,1.4,
arabic61,8.7,7.2,1.4,0.0,
arabic62,36.2,23.2,1.4,11.6,
arabic63,26.1,17.4,1.4,7.2,
arabic64,14.5,11.6,1.4,1.4,
arabic65,17.4,14.5,1.4,1.4,
arabic66,34.8,29.0,0.0,5.8,
arabic67,24.6,14.5,0.0,10.1,
arabic68,17.4,14.5,0.0,2.9,
arabic69,50.7,42.0,7.2,1.4,
arabic6,34.8,24.6,5.8,4.3,
arabic70,10.1,7.2,2.9,0.0,
arabic7,26.1,11.6,1.4,13.0,
arabic8,15.9,10.1,4.3,1.4,
arabic9,4.3,4.3,0.0,0.0,
