File,WER,Sub,Del,Ins
english108,44.9,29.0,10.1,5.8,
english110,14.5,13.0,1.4,0.0,
english113,14.5,14.5,0.0,0.0,
english115,15.9,11.6,4.3,0.0,
english11,4.3,2.9,1.4,0.0,
english129,17.4,11.6,5.8,0.0,
english12,11.6,5.8,0.0,5.8,
english134,11.6,8.7,2.9,0.0,
english13,4.3,2.9,0.0,1.4,
english141,29.0,17.4,11.6,0.0,
english145,7.2,4.3,1.4,1.4,
english14,7.2,5.8,0.0,1.4,
english164,15.9,8.7,2.9,4.3,
english185,2.9,2.9,0.0,0.0,
english188,20.3,13.0,5.8,1.4,
english194,18.8,11.6,7.2,0.0,
english206,5.8,2.9,1.4,1.4,
english215,11.6,10.1,0.0,1.4,
english217,7.2,5.8,1.4,0.0,
english221,18.8,8.7,7.2,2.9,
english225,21.7,8.7,4.3,8.7,
english226,10.1,4.3,2.9,2.9,
english227,10.1,1.4,0.0,8.7,
english228,14.5,4.3,1.4,8.7,
english24,14.5,13.0,1.4,0.0,
english250,37.7,30.4,4.3,2.9,
english267,43.5,21.7,20.3,1.4,
english268,21.7,15.9,4.3,1.4,
english2,2.9,2.9,0.0,0.0,
english306,8.7,4.3,1.4,2.9,
english308,18.8,14.5,4.3,0.0,
english310,17.4,8.7,1.4,7.2,
english319,31.9,23.2,7.2,1.4,
english334,15.9,11.6,4.3,0.0,
english350,15.9,13.0,2.9,0.0,
english363,11.6,8.7,2.9,0.0,
english365,5.8,2.9,2.9,0.0,
english366,10.1,5.8,4.3,0.0,
english367,13.0,11.6,1.4,0.0,
english368,2.9,2.9,0.0,0.0,
english374,8.7,8.7,0.0,0.0,
english38,5.8,5.8,0.0,0.0,
english400,2.9,1.4,1.4,0.0,
english40,10.1,5.8,4.3,0.0,
english413,11.6,10.1,1.4,0.0,
english417,20.3,14.5,5.8,0.0,
english440,24.6,23.2,0.0,1.4,
english448,8.7,7.2,1.4,0.0,
english450,39.1,24.6,13.0,1.4,
english456,17.4,13.0,4.3,0.0,
english460,7.2,5.8,1.4,0.0,
english465,11.6,7.2,1.4,2.9,
english470,21.7,13.0,7.2,1.4,
english473,4.3,4.3,0.0,0.0,
english487,24.6,17.4,5.8,1.4,
english488,10.1,10.1,0.0,0.0,
english496,7.2,5.8,1.4,0.0,
english549,4.3,2.9,1.4,0.0,
english566,14.5,14.5,0.0,0.0,
english56,13.0,10.1,2.9,0.0,
english578,15.9,5.8,4.3,5.8,
english57,13.0,10.1,2.9,0.0,
english58,4.3,4.3,0.0,0.0,
english80,8.7,4.3,2.9,1.4,
english85,26.1,18.8,4.3,2.9,
