File,WER,Sub,Del,Ins
german10,29.0,21.7,7.2,0.0,
german11,42.0,29.0,4.3,8.7,
german12,8.7,7.2,0.0,1.4,
german13,17.4,15.9,1.4,0.0,
german14,13.0,10.1,2.9,0.0,
german15,8.7,7.2,1.4,0.0,
german16,10.1,7.2,2.9,0.0,
german17,5.8,5.8,0.0,0.0,
german18,14.5,11.6,1.4,1.4,
german19,11.6,8.7,2.9,0.0,
german1,15.9,11.6,4.3,0.0,
german20,18.8,14.5,4.3,0.0,
german21,15.9,14.5,1.4,0.0,
german22,21.7,17.4,2.9,1.4,
german23,23.2,18.8,2.9,1.4,
german24,20.3,17.4,2.9,0.0,
german25,20.3,14.5,2.9,2.9,
german26,33.3,27.5,4.3,1.4,
german27,1.4,1.4,0.0,0.0,
german28,21.7,15.9,5.8,0.0,
german29,15.9,13.0,1.4,1.4,
german2,18.8,15.9,2.9,0.0,
german30,8.7,7.2,1.4,0.0,
german31,18.8,13.0,5.8,0.0,
german32,8.7,7.2,1.4,0.0,
german33,31.9,23.2,8.7,0.0,
german34,24.6,18.8,5.8,0.0,
german35,1.4,1.4,0.0,0.0,
german36,23.2,15.9,5.8,1.4,
german3,18.8,18.8,0.0,0.0,
german4,30.4,24.6,4.3,1.4,
german5,1.4,1.4,0.0,0.0,
german6,4.3,4.3,0.0,0.0,
german7,7.2,5.8,1.4,0.0,
german8,17.4,15.9,1.4,0.0,
german9,15.9,13.0,2.9,0.0,
