File,WER,Sub,Del,Ins
italian10,20.3,13.0,2.9,4.3,
italian11,24.6,20.3,4.3,0.0,
italian12,8.7,7.2,0.0,1.4,
italian13,39.1,29.0,5.8,4.3,
italian14,26.1,21.7,4.3,0.0,
italian15,4.3,2.9,1.4,0.0,
italian16,15.9,14.5,0.0,1.4,
italian17,42.0,31.9,2.9,7.2,
italian18,40.6,33.3,7.2,0.0,
italian19,23.2,18.8,2.9,1.4,
italian1,33.3,21.7,1.4,10.1,
italian20,14.5,10.1,2.9,1.4,
italian21,14.5,13.0,0.0,1.4,
italian22,11.6,11.6,0.0,0.0,
italian23,4.3,2.9,1.4,0.0,
italian24,26.1,21.7,4.3,0.0,
italian25,5.8,2.9,0.0,2.9,
italian26,15.9,14.5,1.4,0.0,
italian27,37.7,31.9,5.8,0.0,
italian28,15.9,14.5,1.4,0.0,
italian29,31.9,23.2,8.7,0.0,
italian2,44.9,26.1,0.0,18.8,
italian30,20.3,13.0,5.8,1.4,
italian31,29.0,24.6,2.9,1.4,
italian32,11.6,5.8,1.4,4.3,
italian33,42.0,34.8,4.3,2.9,
italian3,10.1,8.7,1.4,0.0,
italian4,23.2,15.9,5.8,1.4,
italian5,33.3,30.4,2.9,0.0,
italian6,20.3,14.5,4.3,1.4,
italian7,17.4,14.5,1.4,1.4,
italian8,15.9,13.0,0.0,2.9,
italian9,23.2,18.8,4.3,0.0,
