File,WER,Sub,Del,Ins
mandarin10,36.2,29.0,5.8,1.4,
mandarin11,20.3,17.4,1.4,1.4,
mandarin12,15.9,11.6,4.3,0.0,
mandarin13,30.4,26.1,2.9,1.4,
mandarin14,30.4,23.2,5.8,1.4,
mandarin15,14.5,13.0,1.4,0.0,
mandarin16,33.3,23.2,8.7,1.4,
mandarin17,23.2,20.3,1.4,1.4,
mandarin18,33.3,29.0,2.9,1.4,
mandarin19,24.6,18.8,5.8,0.0,
mandarin1,26.1,21.7,0.0,4.3,
mandarin20,11.6,10.1,0.0,1.4,
mandarin21,11.6,10.1,1.4,0.0,
mandarin22,30.4,24.6,4.3,1.4,
mandarin23,39.1,29.0,1.4,8.7,
mandarin24,10.1,10.1,0.0,0.0,
mandarin25,7.2,7.2,0.0,0.0,
mandarin26,27.5,23.2,1.4,2.9,
mandarin27,17.4,14.5,0.0,2.9,
mandarin28,24.6,21.7,2.9,0.0,
mandarin29,31.9,24.6,7.2,0.0,
mandarin2,26.1,18.8,2.9,4.3,
mandarin30,18.8,18.8,0.0,0.0,
mandarin31,15.9,10.1,5.8,0.0,
mandarin32,30.4,24.6,4.3,1.4,
mandarin33,8.7,5.8,1.4,1.4,
mandarin34,39.1,27.5,8.7,2.9,
mandarin35,24.6,20.3,0.0,4.3,
mandarin36,49.3,40.6,1.4,7.2,
mandarin37,17.4,15.9,1.4,0.0,
mandarin38,39.1,29.0,1.4,8.7,
mandarin39,29.0,24.6,1.4,2.9,
mandarin3,21.7,11.6,0.0,10.1,
mandarin40,31.9,23.2,5.8,2.9,
mandarin41,34.8,30.4,2.9,1.4,
mandarin42,65.2,52.2,0.0,13.0,
mandarin43,53.6,46.4,2.9,4.3,
mandarin44,27.5,26.1,1.4,0.0,
mandarin45,68.1,40.6,2.9,24.6,
mandarin46,34.8,20.3,1.4,13.0,
mandarin47,26.1,26.1,0.0,0.0,
mandarin48,50.7,42.0,2.9,5.8,
mandarin49,39.1,29.0,10.1,0.0,
mandarin4,18.8,18.8,0.0,0.0,
mandarin50,24.6,21.7,1.4,1.4,
mandarin51,36.2,33.3,1.4,1.4,
mandarin52,36.2,31.9,2.9,1.4,
mandarin53,20.3,10.1,1.4,8.7,
mandarin54,18.8,14.5,4.3,0.0,
mandarin55,39.1,36.2,0.0,2.9,
mandarin56,34.8,29.0,2.9,2.9,
mandarin57,13.0,11.6,1.4,0.0,
mandarin58,8.7,7.2,1.4,0.0,
mandarin59,43.5,23.2,0.0,20.3,
mandarin5,30.4,24.6,2.9,2.9,
mandarin60,30.4,21.7,0.0,8.7,
mandarin61,21.7,17.4,2.9,1.4,
mandarin62,11.6,8.7,0.0,2.9,
mandarin63,33.3,23.2,5.8,4.3,
mandarin64,33.3,29.0,2.9,1.4,
mandarin65,18.8,17.4,1.4,0.0,
mandarin6,33.3,27.5,1.4,4.3,
mandarin7,2.9,2.9,0.0,0.0,
mandarin8,42.0,34.8,7.2,0.0,
mandarin9,39.1,31.9,4.3,2.9,
saa_man,28.1,22.4,2.5,3.3,
