File,WER,Sub,Del,Ins
portuguese10,18.8,17.4,1.4,0.0,
portuguese11,20.3,14.5,2.9,2.9,
portuguese12,14.5,13.0,1.4,0.0,
portuguese13,15.9,8.7,5.8,1.4,
portuguese14,36.2,24.6,7.2,4.3,
portuguese15,7.2,7.2,0.0,0.0,
portuguese16,18.8,15.9,1.4,1.4,
portuguese17,36.2,23.2,13.0,0.0,
portuguese18,15.9,11.6,4.3,0.0,
portuguese19,36.2,31.9,4.3,0.0,
portuguese1,82.6,58.0,2.9,21.7,
portuguese20,23.2,21.7,0.0,1.4,
portuguese21,17.4,13.0,4.3,0.0,
portuguese22,30.4,24.6,4.3,1.4,
portuguese23,5.8,4.3,1.4,0.0,
portuguese24,44.9,31.9,10.1,2.9,
portuguese25,30.4,21.7,0.0,8.7,
portuguese26,14.5,11.6,2.9,0.0,
portuguese27,20.3,18.8,1.4,0.0,
portuguese28,24.6,20.3,0.0,4.3,
portuguese29,20.3,17.4,2.9,0.0,
portuguese2,18.8,17.4,1.4,0.0,
portuguese30,31.9,21.7,8.7,1.4,
portuguese31,18.8,15.9,2.9,0.0,
portuguese32,29.0,24.6,2.9,1.4,
portuguese33,40.6,34.8,4.3,1.4,
portuguese34,29.0,24.6,4.3,0.0,
portuguese35,20.3,14.5,5.8,0.0,
portuguese36,15.9,13.0,1.4,1.4,
portuguese37,20.3,15.9,4.3,0.0,
portuguese38,13.0,10.1,2.9,0.0,
portuguese39,11.6,10.1,1.4,0.0,
portuguese3,30.4,23.2,1.4,5.8,
portuguese40,20.3,18.8,1.4,0.0,
portuguese41,2.9,2.9,0.0,0.0,
portuguese42,20.3,13.0,0.0,7.2,
portuguese43,13.0,11.6,1.4,0.0,
portuguese44,20.3,18.8,0.0,1.4,
portuguese45,20.3,17.4,2.9,0.0,
portuguese46,5.8,4.3,0.0,1.4,
portuguese47,18.8,15.9,2.9,0.0,
portuguese48,21.7,15.9,2.9,2.9,
portuguese4,34.8,27.5,2.9,4.3,
portuguese5,31.9,23.2,1.4,7.2,
portuguese6,18.8,13.0,5.8,0.0,
portuguese7,17.4,15.9,1.4,0.0,
portuguese8,20.3,17.4,1.4,1.4,
portuguese9,15.9,11.6,4.3,0.0,
