File,WER,Sub,Del,Ins
spanish10,47.8,36.2,4.3,7.2,
spanish11,20.3,17.4,0.0,2.9,
spanish12,62.3,49.3,7.2,5.8,
spanish13,15.9,5.8,1.4,8.7,
spanish14,42.0,34.8,1.4,5.8,
spanish15,49.3,44.9,2.9,1.4,
spanish16,20.3,15.9,4.3,0.0,
spanish17,15.9,11.6,0.0,4.3,
spanish18,10.1,8.7,0.0,1.4,
spanish19,39.1,20.3,2.9,15.9,
spanish1,34.8,26.1,4.3,4.3,
spanish20,37.7,30.4,2.9,4.3,
spanish21,34.8,31.9,2.9,0.0,
spanish22,31.9,29.0,1.4,1.4,
spanish23,27.5,23.2,4.3,0.0,
spanish24,2.9,2.9,0.0,0.0,
spanish25,36.2,27.5,7.2,1.4,
spanish26,26.1,21.7,1.4,2.9,
spanish27,30.4,24.6,4.3,1.4,
spanish28,31.9,23.2,1.4,7.2,
spanish29,36.2,29.0,7.2,0.0,
spanish2,26.1,24.6,0.0,1.4,
spanish30,10.1,8.7,1.4,0.0,
spanish31,33.3,27.5,1.4,4.3,
spanish32,47.8,39.1,2.9,5.8,
spanish33,29.0,18.8,7.2,2.9,
spanish34,24.6,21.7,0.0,2.9,
spanish35,23.2,20.3,2.9,0.0,
spanish36,13.0,10.1,2.9,0.0,
spanish37,14.5,10.1,2.9,1.4,
spanish38,8.7,8.7,0.0,0.0,
spanish39,37.7,30.4,7.2,0.0,
spanish3,40.6,30.4,1.4,8.7,
spanish40,63.8,50.7,11.6,1.4,
spanish41,8.7,7.2,1.4,0.0,
spanish42,52.2,44.9,0.0,7.2,
spanish43,44.9,34.8,7.2,2.9,
spanish44,4.3,4.3,0.0,0.0,
spanish45,39.1,36.2,0.0,2.9,
spanish46,18.8,15.9,2.9,0.0,
spanish47,27.5,20.3,1.4,5.8,
spanish48,31.9,26.1,5.8,0.0,
spanish49,8.7,7.2,1.4,0.0,
spanish4,30.4,20.3,4.3,5.8,
spanish50,29.0,26.1,1.4,1.4,
spanish51,37.7,24.6,11.6,1.4,
spanish52,27.5,18.8,4.3,4.3,
spanish53,11.6,7.2,2.9,1.4,
spanish54,39.1,31.9,2.9,4.3,
spanish55,24.6,17.4,4.3,2.9,
spanish56,18.8,15.9,2.9,0.0,
spanish57,27.5,24.6,2.9,0.0,
spanish58,11.6,10.1,1.4,0.0,
spanish59,4.3,2.9,1.4,0.0,
spanish5,14.5,4.3,0.0,10.1,
spanish60,17.4,14.5,2.9,0.0,
spanish61,39.1,33.3,2.9,2.9,
spanish62,10.1,7.2,1.4,1.4,
spanish63,23.2,15.9,7.2,0.0,
spanish64,31.9,26.1,4.3,1.4,
spanish65,20.3,17.4,2.9,0.0,
spanish66,2.9,2.9,0.0,0.0,
spanish67,8.7,8.7,0.0,0.0,
spanish68,10.1,8.7,1.4,0.0,
spanish69,8.7,4.3,1.4,2.9,
spanish6,26.1,21.7,2.9,1.4,
spanish70,37.7,31.9,1.4,4.3,
spanish7,44.9,30.4,0.0,14.5,
spanish8,18.8,18.8,0.0,0.0,
spanish9,39.1,29.0,0.0,10.1,
