File,WER,Sub,Del,Ins
arabic10,8.7,2.9,1.4,4.3,
arabic11,79.7,10.1,69.6,0.0,
arabic12,79.7,7.2,72.5,0.0,
arabic13,20.3,10.1,10.1,0.0,
arabic14,21.7,10.1,10.1,1.4,
arabic15,43.5,17.4,14.5,11.6,
arabic16,58.0,21.7,36.2,0.0,
arabic17,59.4,26.1,33.3,0.0,
arabic18,50.7,29.0,21.7,0.0,
arabic19,23.2,13.0,7.2,2.9,
arabic1,26.1,20.3,5.8,0.0,
arabic20,88.4,5.8,82.6,0.0,
arabic21,49.3,8.7,40.6,0.0,
arabic22,95.7,11.6,84.1,0.0,
arabic23,21.7,8.7,13.0,0.0,
arabic24,50.7,36.2,8.7,5.8,
arabic25,31.9,5.8,24.6,1.4,
arabic26,27.5,23.2,1.4,2.9,
arabic29,63.8,29.0,34.8,0.0,
arabic2,14.5,8.7,4.3,1.4,
arabic30,66.7,15.9,50.7,0.0,
arabic31,71.0,21.7,47.8,1.4,
arabic32,34.8,18.8,15.9,0.0,
arabic33,43.5,18.8,24.6,0.0,
arabic34,33.3,10.1,23.2,0.0,
arabic35,46.4,11.6,34.8,0.0,
arabic36,24.6,17.4,4.3,2.9,
arabic37,31.9,14.5,17.4,0.0,
arabic38,18.8,5.8,13.0,0.0,
arabic39,36.2,20.3,13.0,2.9,
arabic3,23.2,13.0,4.3,5.8,
arabic40,27.5,18.8,8.7,0.0,
arabic41,21.7,14.5,4.3,2.9,
arabic43,50.7,10.1,40.6,0.0,
arabic44,40.6,11.6,29.0,0.0,
arabic45,27.5,18.8,7.2,1.4,
arabic46,23.2,8.7,7.2,7.2,
arabic48,47.8,27.5,20.3,0.0,
arabic49,33.3,10.1,21.7,1.4,
arabic4,27.5,17.4,10.1,0.0,
arabic50,26.1,15.9,10.1,0.0,
arabic51,10.1,4.3,5.8,0.0,
arabic52,65.2,5.8,59.4,0.0,
arabic53,23.2,14.5,7.2,1.4,
arabic54,14.5,8.7,5.8,0.0,
arabic55,20.3,13.0,5.8,1.4,
arabic56,20.3,10.1,10.1,0.0,
arabic57,21.7,14.5,7.2,0.0,
arabic58,21.7,14.5,7.2,0.0,
arabic59,56.5,18.8,37.7,0.0,
arabic5,13.0,10.1,2.9,0.0,
arabic60,97.1,1.4,95.7,0.0,
arabic61,11.6,7.2,4.3,0.0,
arabic62,24.6,13.0,4.3,7.2,
arabic63,34.8,8.7,26.1,0.0,
arabic64,10.1,8.7,1.4,0.0,
arabic65,23.2,15.9,5.8,1.4,
arabic66,20.3,18.8,1.4,0.0,
arabic67,23.2,14.5,4.3,4.3,
arabic68,18.8,8.7,8.7,1.4,
arabic69,56.5,17.4,39.1,0.0,
arabic6,43.5,23.2,20.3,0.0,
arabic70,23.2,10.1,13.0,0.0,
arabic7,24.6,13.0,4.3,7.2,
arabic8,23.2,15.9,7.2,0.0,
arabic9,8.7,4.3,4.3,0.0,
