File,WER,Sub,Del,Ins
english108,37.7,17.4,20.3,0.0,
english110,84.1,7.2,76.8,0.0,
english113,11.6,8.7,2.9,0.0,
english115,11.6,4.3,7.2,0.0,
english11,10.1,5.8,4.3,0.0,
english129,21.7,10.1,11.6,0.0,
english12,20.3,7.2,5.8,7.2,
english134,7.2,5.8,1.4,0.0,
english13,11.6,4.3,5.8,1.4,
english141,36.2,10.1,24.6,1.4,
english145,7.2,4.3,1.4,1.4,
english14,24.6,11.6,11.6,1.4,
english164,14.5,4.3,4.3,5.8,
english185,8.7,4.3,4.3,0.0,
english188,10.1,5.8,2.9,1.4,
english194,20.3,11.6,8.7,0.0,
english206,5.8,2.9,2.9,0.0,
english215,20.3,11.6,7.2,1.4,
english217,33.3,13.0,20.3,0.0,
english221,33.3,20.3,13.0,0.0,
english225,21.7,10.1,11.6,0.0,
english226,18.8,8.7,10.1,0.0,
english227,14.5,2.9,4.3,7.2,
english228,53.6,4.3,43.5,5.8,
english24,21.7,13.0,8.7,0.0,
english250,31.9,20.3,11.6,0.0,
english267,42.0,14.5,26.1,1.4,
english268,52.2,20.3,31.9,0.0,
english2,13.0,4.3,8.7,0.0,
english306,79.7,1.4,78.3,0.0,
english308,29.0,15.9,11.6,1.4,
english310,17.4,8.7,8.7,0.0,
english319,34.8,18.8,15.9,0.0,
english334,7.2,2.9,4.3,0.0,
english350,14.5,7.2,7.2,0.0,
english363,30.4,4.3,26.1,0.0,
english365,17.4,8.7,8.7,0.0,
english366,13.0,4.3,8.7,0.0,
english367,39.1,21.7,15.9,1.4,
english368,7.2,2.9,2.9,1.4,
english374,17.4,13.0,4.3,0.0,
english38,18.8,8.7,10.1,0.0,
english400,5.8,4.3,1.4,0.0,
english40,15.9,10.1,5.8,0.0,
english413,4.3,2.9,1.4,0.0,
english417,18.8,10.1,8.7,0.0,
english440,20.3,10.1,8.7,1.4,
english448,20.3,14.5,4.3,1.4,
english450,75.4,5.8,69.6,0.0,
english456,23.2,13.0,10.1,0.0,
english460,13.0,7.2,5.8,0.0,
english465,11.6,5.8,2.9,2.9,
english470,34.8,11.6,21.7,1.4,
english473,11.6,4.3,7.2,0.0,
english487,55.1,20.3,33.3,1.4,
english488,5.8,1.4,4.3,0.0,
english496,15.9,11.6,2.9,1.4,
english549,11.6,5.8,5.8,0.0,
english566,50.7,14.5,36.2,0.0,
english56,13.0,10.1,2.9,0.0,
english578,18.8,8.7,5.8,4.3,
english57,34.8,18.8,15.9,0.0,
english58,5.8,2.9,2.9,0.0,
english80,8.7,4.3,2.9,1.4,
english85,63.8,11.6,52.2,0.0,
saa-uk,24.1,9.2,14.0,0.9,
