File,WER,Sub,Del,Ins
french10,10.1,7.2,2.9,0.0,
french11,26.1,15.9,10.1,0.0,
french12,14.5,10.1,4.3,0.0,
french13,31.9,21.7,10.1,0.0,
french14,13.0,8.7,4.3,0.0,
french15,49.3,17.4,31.9,0.0,
french16,31.9,14.5,17.4,0.0,
french17,33.3,17.4,11.6,4.3,
french18,10.1,5.8,4.3,0.0,
french19,21.7,10.1,10.1,1.4,
french1,23.2,18.8,2.9,1.4,
french20,30.4,21.7,8.7,0.0,
french21,26.1,14.5,11.6,0.0,
french22,30.4,20.3,10.1,0.0,
french23,24.6,10.1,14.5,0.0,
french24,26.1,13.0,11.6,1.4,
french25,17.4,11.6,5.8,0.0,
french26,7.2,4.3,2.9,0.0,
french27,21.7,13.0,7.2,1.4,
french28,26.1,11.6,14.5,0.0,
french29,11.6,5.8,5.8,0.0,
french2,26.1,14.5,7.2,4.3,
french30,21.7,13.0,8.7,0.0,
french31,52.2,14.5,37.7,0.0,
french32,36.2,20.3,10.1,5.8,
french33,15.9,8.7,7.2,0.0,
french34,36.2,23.2,11.6,1.4,
french35,15.9,13.0,2.9,0.0,
french36,59.4,11.6,47.8,0.0,
french37,44.9,23.2,21.7,0.0,
french38,18.8,14.5,4.3,0.0,
french39,47.8,23.2,24.6,0.0,
french3,14.5,5.8,7.2,1.4,
french40,21.7,8.7,13.0,0.0,
french41,79.7,11.6,68.1,0.0,
french42,33.3,15.9,15.9,1.4,
french43,39.1,20.3,18.8,0.0,
french44,34.8,20.3,14.5,0.0,
french45,24.6,10.1,14.5,0.0,
french46,60.9,27.5,33.3,0.0,
french47,44.9,7.2,37.7,0.0,
french48,18.8,7.2,11.6,0.0,
french49,4.3,1.4,2.9,0.0,
french4,24.6,13.0,5.8,5.8,
french50,44.9,20.3,24.6,0.0,
french51,21.7,13.0,8.7,0.0,
french52,11.6,5.8,4.3,1.4,
french53,17.4,8.7,8.7,0.0,
french54,10.1,7.2,2.9,0.0,
french55,24.6,17.4,7.2,0.0,
french56,30.4,10.1,8.7,11.6,
french57,37.7,15.9,20.3,1.4,
french58,10.1,7.2,2.9,0.0,
french59,39.1,18.8,20.3,0.0,
french5,27.5,15.9,8.7,2.9,
french60,42.0,17.4,24.6,0.0,
french61,20.3,11.6,5.8,2.9,
french62,17.4,11.6,5.8,0.0,
french63,21.7,15.9,4.3,1.4,
french6,14.5,10.1,4.3,0.0,
french7,10.1,7.2,2.9,0.0,
french8,29.0,21.7,7.2,0.0,
french9,26.1,17.4,8.7,0.0,
saa-fr,27.3,13.6,12.9,0.8,
