File,WER,Sub,Del,Ins
german10,30.4,21.7,7.2,1.4,
german11,43.5,31.9,8.7,2.9,
german12,30.4,15.9,14.5,0.0,
german13,23.2,11.6,11.6,0.0,
german14,17.4,10.1,7.2,0.0,
german15,23.2,8.7,14.5,0.0,
german16,40.6,10.1,30.4,0.0,
german17,30.4,15.9,14.5,0.0,
german18,14.5,10.1,4.3,0.0,
german19,17.4,8.7,8.7,0.0,
german1,24.6,14.5,10.1,0.0,
german20,20.3,11.6,8.7,0.0,
german21,18.8,15.9,2.9,0.0,
german22,43.5,27.5,14.5,1.4,
german23,42.0,27.5,13.0,1.4,
german24,20.3,14.5,4.3,1.4,
german25,37.7,13.0,24.6,0.0,
german26,29.0,21.7,7.2,0.0,
german27,4.3,4.3,0.0,0.0,
german28,58.0,18.8,39.1,0.0,
german29,53.6,20.3,33.3,0.0,
german2,13.0,8.7,4.3,0.0,
german30,24.6,15.9,8.7,0.0,
german31,27.5,17.4,10.1,0.0,
german32,5.8,1.4,4.3,0.0,
german33,72.5,4.3,68.1,0.0,
german34,34.8,26.1,7.2,1.4,
german35,7.2,5.8,1.4,0.0,
german36,31.9,18.8,13.0,0.0,
german3,11.6,7.2,4.3,0.0,
german4,26.1,18.8,7.2,0.0,
german5,13.0,8.7,4.3,0.0,
german6,5.8,1.4,1.4,2.9,
german7,14.5,10.1,4.3,0.0,
german8,27.5,24.6,2.9,0.0,
german9,17.4,8.7,8.7,0.0,
saa-ger,26.6,14.3,12.0,0.4,
