File,WER,Sub,Del,Ins
hindi10,30.4,20.3,7.2,2.9,
hindi11,11.6,7.2,4.3,0.0,
hindi12,14.5,7.2,7.2,0.0,
hindi13,20.3,5.8,14.5,0.0,
hindi14,8.7,5.8,2.9,0.0,
hindi15,21.7,13.0,8.7,0.0,
hindi16,49.3,14.5,34.8,0.0,
hindi17,8.7,5.8,2.9,0.0,
hindi18,20.3,17.4,2.9,0.0,
hindi1,27.5,15.9,8.7,2.9,
hindi2,59.4,11.6,47.8,0.0,
hindi3,14.5,4.3,10.1,0.0,
hindi4,79.7,5.8,73.9,0.0,
hindi5,81.2,8.7,72.5,0.0,
hindi6,63.8,13.0,50.7,0.0,
hindi7,20.3,15.9,4.3,0.0,
hindi8,56.5,26.1,30.4,0.0,
hindi9,27.5,18.8,8.7,0.0,
saa-hin,34.2,12.1,21.8,0.3,
