File,WER,Sub,Del,Ins
italian10,33.3,20.3,10.1,2.9,
italian11,21.7,13.0,8.7,0.0,
italian12,20.3,11.6,7.2,1.4,
italian13,49.3,20.3,29.0,0.0,
italian14,34.8,26.1,7.2,1.4,
italian15,7.2,4.3,2.9,0.0,
italian16,33.3,20.3,11.6,1.4,
italian17,36.2,24.6,8.7,2.9,
italian18,43.5,27.5,15.9,0.0,
italian19,33.3,18.8,14.5,0.0,
italian1,34.8,24.6,5.8,4.3,
italian20,23.2,14.5,7.2,1.4,
italian21,17.4,10.1,7.2,0.0,
italian22,20.3,15.9,4.3,0.0,
italian23,17.4,13.0,4.3,0.0,
italian24,33.3,17.4,14.5,1.4,
italian25,20.3,10.1,10.1,0.0,
italian26,27.5,23.2,4.3,0.0,
italian27,39.1,24.6,14.5,0.0,
italian28,30.4,23.2,7.2,0.0,
italian29,44.9,24.6,20.3,0.0,
italian2,39.1,29.0,2.9,7.2,
italian30,24.6,13.0,11.6,0.0,
italian31,69.6,10.1,59.4,0.0,
italian32,27.5,18.8,7.2,1.4,
italian33,55.1,21.7,30.4,2.9,
italian3,24.6,17.4,7.2,0.0,
italian4,49.3,27.5,21.7,0.0,
italian5,13.0,8.7,4.3,0.0,
italian6,31.9,20.3,11.6,0.0,
italian7,26.1,17.4,7.2,1.4,
italian8,13.0,7.2,5.8,0.0,
italian9,34.8,27.5,7.2,0.0,
saa-ita,31.2,18.4,11.9,0.9,
