File,WER,Sub,Del,Ins
mandarin10,39.1,23.2,15.9,0.0,
mandarin11,26.1,18.8,5.8,1.4,
mandarin12,21.7,13.0,8.7,0.0,
mandarin13,36.2,24.6,11.6,0.0,
mandarin14,71.0,11.6,59.4,0.0,
mandarin15,30.4,10.1,20.3,0.0,
mandarin16,34.8,18.8,15.9,0.0,
mandarin17,23.2,17.4,4.3,1.4,
mandarin18,33.3,18.8,11.6,2.9,
mandarin19,46.4,30.4,15.9,0.0,
mandarin1,17.4,11.6,5.8,0.0,
mandarin20,24.6,11.6,13.0,0.0,
mandarin21,5.8,4.3,1.4,0.0,
mandarin22,29.0,20.3,8.7,0.0,
mandarin23,44.9,23.2,18.8,2.9,
mandarin24,8.7,2.9,5.8,0.0,
mandarin25,21.7,17.4,2.9,1.4,
mandarin26,30.4,18.8,10.1,1.4,
mandarin27,23.2,14.5,8.7,0.0,
mandarin28,20.3,14.5,5.8,0.0,
mandarin29,95.7,4.3,91.3,0.0,
mandarin2,17.4,11.6,1.4,4.3,
mandarin30,17.4,13.0,4.3,0.0,
mandarin31,27.5,18.8,8.7,0.0,
mandarin32,46.4,27.5,18.8,0.0,
mandarin33,17.4,11.6,5.8,0.0,
mandarin34,40.6,5.8,34.8,0.0,
mandarin35,42.0,18.8,20.3,2.9,
mandarin36,29.0,21.7,4.3,2.9,
mandarin37,20.3,10.1,10.1,0.0,
mandarin38,33.3,24.6,2.9,5.8,
mandarin39,23.2,14.5,7.2,1.4,
mandarin3,13.0,5.8,2.9,4.3,
mandarin40,36.2,23.2,13.0,0.0,
mandarin41,33.3,24.6,8.7,0.0,
mandarin42,60.9,36.2,18.8,5.8,
mandarin43,43.5,29.0,13.0,1.4,
mandarin44,53.6,8.7,44.9,0.0,
mandarin45,53.6,40.6,7.2,5.8,
mandarin46,29.0,10.1,8.7,10.1,
mandarin47,18.8,13.0,5.8,0.0,
mandarin48,50.7,24.6,23.2,2.9,
mandarin49,63.8,26.1,37.7,0.0,
mandarin4,20.3,14.5,5.8,0.0,
mandarin50,55.1,10.1,44.9,0.0,
mandarin51,24.6,15.9,7.2,1.4,
mandarin52,26.1,17.4,8.7,0.0,
mandarin53,17.4,10.1,1.4,5.8,
mandarin54,30.4,23.2,7.2,0.0,
mandarin55,31.9,27.5,2.9,1.4,
mandarin56,27.5,21.7,4.3,1.4,
mandarin57,26.1,15.9,7.2,2.9,
mandarin58,30.4,13.0,17.4,0.0,
mandarin59,30.4,20.3,2.9,7.2,
mandarin5,39.1,24.6,13.0,1.4,
mandarin60,21.7,13.0,2.9,5.8,
mandarin61,17.4,8.7,8.7,0.0,
mandarin62,23.2,15.9,4.3,2.9,
mandarin63,34.8,18.8,11.6,4.3,
mandarin64,26.1,18.8,5.8,1.4,
mandarin65,39.1,15.9,23.2,0.0,
mandarin6,29.0,18.8,8.7,1.4,
mandarin7,26.1,13.0,13.0,0.0,
mandarin8,66.7,26.1,39.1,1.4,
mandarin9,68.1,23.2,44.9,0.0,
saa-man,33.3,17.5,14.3,1.5,
