File,WER,Sub,Del,Ins
portuguese10,34.8,24.6,10.1,0.0,
portuguese11,24.6,17.4,7.2,0.0,
portuguese12,29.0,21.7,7.2,0.0,
portuguese13,43.5,18.8,24.6,0.0,
portuguese14,30.4,21.7,5.8,2.9,
portuguese15,10.1,4.3,5.8,0.0,
portuguese16,30.4,23.2,7.2,0.0,
portuguese17,43.5,17.4,26.1,0.0,
portuguese18,31.9,15.9,14.5,1.4,
portuguese19,36.2,26.1,10.1,0.0,
portuguese1,56.5,42.0,2.9,11.6,
portuguese20,24.6,15.9,5.8,2.9,
portuguese21,21.7,14.5,7.2,0.0,
portuguese22,69.6,14.5,55.1,0.0,
portuguese23,21.7,15.9,5.8,0.0,
portuguese24,36.2,20.3,15.9,0.0,
portuguese25,23.2,15.9,5.8,1.4,
portuguese26,15.9,7.2,8.7,0.0,
portuguese27,17.4,14.5,2.9,0.0,
portuguese28,36.2,20.3,14.5,1.4,
portuguese29,27.5,17.4,10.1,0.0,
portuguese2,17.4,13.0,4.3,0.0,
portuguese30,43.5,21.7,21.7,0.0,
portuguese31,33.3,20.3,13.0,0.0,
portuguese32,21.7,15.9,4.3,1.4,
portuguese33,42.0,20.3,21.7,0.0,
portuguese34,33.3,26.1,7.2,0.0,
portuguese35,46.4,26.1,20.3,0.0,
portuguese36,21.7,18.8,1.4,1.4,
portuguese37,21.7,15.9,5.8,0.0,
portuguese38,21.7,10.1,7.2,4.3,
portuguese39,21.7,14.5,7.2,0.0,
portuguese3,27.5,20.3,4.3,2.9,
portuguese40,24.6,14.5,10.1,0.0,
portuguese41,8.7,5.8,2.9,0.0,
portuguese42,15.9,8.7,7.2,0.0,
portuguese43,33.3,18.8,14.5,0.0,
portuguese44,53.6,15.9,37.7,0.0,
portuguese45,40.6,13.0,26.1,1.4,
portuguese46,33.3,21.7,11.6,0.0,
portuguese47,34.8,11.6,23.2,0.0,
portuguese48,36.2,23.2,11.6,1.4,
portuguese4,17.4,17.4,0.0,0.0,
portuguese5,27.5,17.4,5.8,4.3,
portuguese6,33.3,20.3,13.0,0.0,
portuguese7,26.1,15.9,10.1,0.0,
portuguese8,29.0,17.4,10.1,1.4,
portuguese9,21.7,13.0,8.7,0.0,
saa-por,30.3,17.7,11.8,0.8,
