File,WER,Sub,Del,Ins
saa-sp,31.9,19.2,11.2,1.5,
spanish10,37.7,27.5,10.1,0.0,
spanish11,24.6,20.3,0.0,4.3,
spanish12,56.5,36.2,20.3,0.0,
spanish13,24.6,10.1,7.2,7.2,
spanish14,40.6,27.5,11.6,1.4,
spanish15,60.9,40.6,17.4,2.9,
spanish16,17.4,13.0,4.3,0.0,
spanish17,31.9,24.6,4.3,2.9,
spanish18,14.5,8.7,5.8,0.0,
spanish19,39.1,18.8,5.8,14.5,
spanish1,26.1,24.6,1.4,0.0,
spanish20,33.3,21.7,11.6,0.0,
spanish21,30.4,24.6,5.8,0.0,
spanish22,24.6,13.0,10.1,1.4,
spanish23,37.7,21.7,15.9,0.0,
spanish24,7.2,4.3,2.9,0.0,
spanish25,49.3,27.5,20.3,1.4,
spanish26,24.6,18.8,4.3,1.4,
spanish27,30.4,20.3,10.1,0.0,
spanish28,24.6,17.4,4.3,2.9,
spanish29,52.2,26.1,26.1,0.0,
spanish2,30.4,20.3,7.2,2.9,
spanish30,17.4,13.0,4.3,0.0,
spanish31,58.0,18.8,39.1,0.0,
spanish32,43.5,27.5,8.7,7.2,
spanish33,30.4,18.8,11.6,0.0,
spanish34,39.1,21.7,15.9,1.4,
spanish35,29.0,18.8,10.1,0.0,
spanish36,21.7,14.5,7.2,0.0,
spanish37,15.9,8.7,7.2,0.0,
spanish38,43.5,10.1,33.3,0.0,
spanish39,56.5,37.7,18.8,0.0,
spanish3,40.6,30.4,5.8,4.3,
spanish40,63.8,44.9,18.8,0.0,
spanish41,15.9,8.7,7.2,0.0,
spanish42,50.7,39.1,11.6,0.0,
spanish43,53.6,26.1,27.5,0.0,
spanish44,13.0,10.1,2.9,0.0,
spanish45,40.6,18.8,21.7,0.0,
spanish46,23.2,17.4,5.8,0.0,
spanish47,37.7,17.4,17.4,2.9,
spanish48,39.1,21.7,15.9,1.4,
spanish49,36.2,21.7,14.5,0.0,
spanish4,39.1,26.1,7.2,5.8,
spanish50,31.9,24.6,7.2,0.0,
spanish51,60.9,21.7,39.1,0.0,
spanish52,46.4,15.9,26.1,4.3,
spanish53,26.1,15.9,10.1,0.0,
spanish54,36.2,26.1,10.1,0.0,
spanish55,30.4,14.5,15.9,0.0,
spanish56,33.3,18.8,14.5,0.0,
spanish57,23.2,15.9,7.2,0.0,
spanish58,15.9,7.2,8.7,0.0,
spanish59,18.8,13.0,5.8,0.0,
spanish5,27.5,10.1,7.2,10.1,
spanish60,18.8,13.0,5.8,0.0,
spanish61,65.2,29.0,36.2,0.0,
spanish62,20.3,13.0,7.2,0.0,
spanish63,23.2,14.5,8.7,0.0,
spanish64,30.4,18.8,10.1,1.4,
spanish65,15.9,13.0,1.4,1.4,
spanish66,17.4,13.0,4.3,0.0,
spanish67,10.1,8.7,1.4,0.0,
spanish68,13.0,8.7,4.3,0.0,
spanish69,33.3,21.7,5.8,5.8,
spanish6,27.5,20.3,5.8,1.4,
spanish70,33.3,24.6,4.3,4.3,
spanish7,30.4,18.8,1.4,10.1,
spanish8,11.6,11.6,0.0,0.0,
spanish9,26.1,18.8,0.0,7.2,
